,block,rank,fold,train_score,val_score,n_features,test_score,dataset,subject,session
0,0,"(8, 32)",0,0.8756347656250001,0.804671556122449,256,0.819938775510204,BNCI2014-008,1,0
1,0,"(8, 32)",1,0.8845174984056122,0.7737723214285714,256,0.8098367346938775,BNCI2014-008,1,0
2,0,"(8, 32)",2,0.8734325175382653,0.852423469387755,256,0.8103877551020409,BNCI2014-008,1,0
3,0,"(8, 32)",3,0.8740892059948979,0.8478954081632653,256,0.8057653061224491,BNCI2014-008,1,0
4,0,"(8, 32)",4,0.8695601482780613,0.8398915816326531,256,0.8010612244897959,BNCI2014-008,1,0
5,1,"(8, 48)",0,0.8991798867984694,0.8187500000000001,640,0.8355510204081633,BNCI2014-008,1,0
6,1,"(8, 48)",1,0.9042042012117347,0.7756058673469387,640,0.8200918367346941,BNCI2014-008,1,0
7,1,"(8, 48)",2,0.8932497608418367,0.8590082908163266,640,0.8189795918367346,BNCI2014-008,1,0
8,1,"(8, 48)",3,0.8913594148596938,0.8510841836734695,640,0.8104489795918368,BNCI2014-008,1,0
9,1,"(8, 48)",4,0.8920918367346938,0.836686862244898,640,0.8129897959183674,BNCI2014-008,1,0
10,2,"(1, 1)",0,0.9010453204719386,0.8236926020408163,641,0.8433367346938775,BNCI2014-008,1,0
11,2,"(1, 1)",1,0.9056172273596939,0.7819993622448979,641,0.8247755102040817,BNCI2014-008,1,0
12,2,"(1, 1)",2,0.8944973692602041,0.8629304846938775,641,0.8242142857142858,BNCI2014-008,1,0
13,2,"(1, 1)",3,0.8941236846301021,0.8494419642857143,641,0.819234693877551,BNCI2014-008,1,0
14,2,"(1, 1)",4,0.8949069276147958,0.8392697704081633,641,0.8216530612244897,BNCI2014-008,1,0
15,3,"(8, 48)",0,0.9052594866071427,0.8288584183673469,1025,0.8374183673469388,BNCI2014-008,1,0
16,3,"(8, 48)",1,0.9130879304846939,0.7833545918367346,1025,0.824530612244898,BNCI2014-008,1,0
17,3,"(8, 48)",2,0.9002401546556122,0.8566485969387756,1025,0.8270918367346939,BNCI2014-008,1,0
18,3,"(8, 48)",3,0.9005151865433674,0.8438934948979593,1025,0.8158469387755103,BNCI2014-008,1,0
