,index,block,rank,F_tr,F_rt,log_loss,mse,nmse,dataset,subject,session
0,0,1,"(8, 32)",4.332832224170361e-07,0.00032369692627541114,0.2881422731739923,0.5336747912945257,0.5336747912945209,BNCI2014-008,1,0
1,1,2,"(8, 48)",2.3578569146804082e-07,0.00035587828227942153,0.27061307122136213,7.680366375872435e-05,7.680366375872367e-05,BNCI2014-008,1,0
2,2,3,"(1, 1)",2.357889816589672e-07,0.00035595770340698967,0.2706527963597447,7.612659160421799e-05,7.612659160421731e-05,BNCI2014-008,1,0
3,3,4,"(8, 48)",2.35791564133511e-07,0.0003755218912697813,0.2700248348597108,1.662497200609476e-08,1.662497200609461e-08,BNCI2014-008,1,0
4,4,5,"(4, 4)",2.357915641683758e-07,0.00037606858346036603,0.2700081702202403,1.639962945453684e-08,1.6399629454536695e-08,BNCI2014-008,1,0
5,5,6,"(2, 2)",2.357915641700484e-07,0.0003762030582707974,0.27006307132331553,1.637983270416735e-08,1.6379832704167203e-08,BNCI2014-008,1,0
6,6,7,"(2, 2)",2.3579156417298798e-07,0.0003763366711814867,0.27012153683413365,1.6313810568843804e-08,1.631381056884366e-08,BNCI2014-008,1,0
7,7,8,"(2, 2)",2.357915641737081e-07,0.0003764694306790758,0.27013513791416766,1.6278269832766184e-08,1.627826983276604e-08,BNCI2014-008,1,0
8,8,9,"(1, 1)",2.3579156417382332e-07,0.0003765024881927254,0.2701584581956758,1.626036907179718e-08,1.6260369071797034e-08,BNCI2014-008,1,0
9,9,10,"(1, 1)",2.3579156417394253e-07,0.00037653549302237943,0.27017813175943944,1.6253103852176687e-08,1.625310385217654e-08,BNCI2014-008,1,0
10,0,1,"(8, 48)",9.337990244305648e-07,0.00029865995839699756,0.30067364811536507,0.0003109061825303239,0.0003109061825303249,BNCI2014-008,2,0
11,1,2,"(8, 32)",9.339283931267754e-07,0.0003342478656305668,0.28853334833075994,0.0002219509605419409,0.00022195096054194161,BNCI2014-008,2,0
12,2,3,"(8, 8)",9.339371856951645e-07,0.00034034242190036283,0.28668660967951193,0.0001874223890810021,0.0001874223890810027,BNCI2014-008,2,0
