,block,rank,fold,train_score,val_score,n_features,test_score,dataset,subject,session
0,0,"(22, 4, 16)",0,0.967391304347826,0.6956521739130435,1408,0.603448275862069,BNCI2014-001,1,0train
1,0,"(22, 4, 16)",1,0.9510869565217391,0.6086956521739131,1408,0.5344827586206896,BNCI2014-001,1,0train
2,0,"(22, 4, 16)",2,0.9565217391304348,0.5652173913043478,1408,0.5172413793103449,BNCI2014-001,1,0train
3,0,"(22, 4, 16)",3,0.9782608695652174,0.5652173913043478,1408,0.5689655172413793,BNCI2014-001,1,0train
4,0,"(22, 4, 16)",4,0.9510869565217391,0.6086956521739131,1408,0.5689655172413793,BNCI2014-001,1,0train
5,1,"(2, 2, 2)",0,0.9565217391304348,0.6956521739130435,1416,0.6551724137931034,BNCI2014-001,1,0train
6,1,"(2, 2, 2)",1,0.9456521739130435,0.7608695652173914,1416,0.5517241379310345,BNCI2014-001,1,0train
7,1,"(2, 2, 2)",2,0.9510869565217391,0.5652173913043478,1416,0.603448275862069,BNCI2014-001,1,0train
8,1,"(2, 2, 2)",3,0.9619565217391305,0.5869565217391305,1416,0.6379310344827587,BNCI2014-001,1,0train
9,1,"(2, 2, 2)",4,0.9565217391304348,0.6739130434782609,1416,0.5344827586206896,BNCI2014-001,1,0train
10,2,"(2, 2, 2)",0,0.9510869565217391,0.6956521739130435,1424,0.6551724137931034,BNCI2014-001,1,0train
11,2,"(2, 2, 2)",1,0.9456521739130435,0.7391304347826086,1424,0.603448275862069,BNCI2014-001,1,0train
12,2,"(2, 2, 2)",2,0.9565217391304348,0.6086956521739131,1424,0.6206896551724138,BNCI2014-001,1,0train
13,2,"(2, 2, 2)",3,0.9728260869565217,0.6304347826086957,1424,0.6379310344827587,BNCI2014-001,1,0train
14,2,"(2, 2, 2)",4,0.9565217391304348,0.6739130434782609,1424,0.5344827586206896,BNCI2014-001,1,0train
15,3,"(4, 4, 4)",0,0.9619565217391305,0.6956521739130435,1488,0.6551724137931034,BNCI2014-001,1,0train
16,3,"(4, 4, 4)",1,0.9565217391304348,0.7391304347826086,1488,0.5689655172413793,BNCI2014-001,1,0train
17,3,"(4, 4, 4)",2,0.967391304347826,0.6521739130434783,1488,0.603448275862069,BNCI2014-001,1,0train
18,3,"(4, 4, 4)",3,0.9836956521739131,0.6739130434782609,1488,0.6206896551724138,BNCI2014-001,1,0train
19,3,"(4, 4, 4)",4,0.9782608695652174,0.6739130434782609,1488,0.5344827586206896,BNCI2014-001,1,0train
20,4,"(2, 2, 2)",0,0.9728260869565217,0.6739130434782609,1496,0.6379310344827587,BNCI2014-001,1,0train
21,4,"(2, 2, 2)",1,0.9565217391304348,0.717391304347826,1496,0.603448275862069,BNCI2014-001,1,0train
22,4,"(2, 2, 2)",2,0.9782608695652174,0.6521739130434783,1496,0.603448275862069,BNCI2014-001,1,0train
23,4,"(2, 2, 2)",3,0.9891304347826086,0.6521739130434783,1496,0.6379310344827587,BNCI2014-001,1,0train
24,4,"(2, 2, 2)",4,0.9836956521739131,0.6521739130434783,1496,0.5517241379310345,BNCI2014-001,1,0train
25,5,"(1, 1, 1)",0,0.967391304347826,0.6956521739130435,1497,0.6379310344827587,BNCI2014-001,1,0train
26,5,"(1, 1, 1)",1,0.9565217391304348,0.7391304347826086,1497,0.5517241379310345,BNCI2014-001,1,0train
27,5,"(1, 1, 1)",2,0.9836956521739131,0.5869565217391305,1497,0.6206896551724138,BNCI2014-001,1,0train
28,5,"(1, 1, 1)",3,0.9836956521739131,0.6304347826086957,1497,0.5517241379310345,BNCI2014-001,1,0train
29,5,"(1, 1, 1)",4,0.9836956521739131,0.6739130434782609,1497,0.5689655172413793,BNCI2014-001,1,0train
30,6,"(1, 1, 1)",0,0.9728260869565217,0.6739130434782609,1498,0.6379310344827587,BNCI2014-001,1,0train
31,6,"(1, 1, 1)",1,0.9619565217391305,0.6956521739130435,1498,0.5344827586206896,BNCI2014-001,1,0train
32,6,"(1, 1, 1)",2,0.9836956521739131,0.5434782608695652,1498,0.5689655172413793,BNCI2014-001,1,0train
33,6,"(1, 1, 1)",3,0.9836956521739131,0.6521739130434783,1498,0.5862068965517241,BNCI2014-001,1,0train
34,6,"(1, 1, 1)",4,0.9728260869565217,0.6304347826086957,1498,0.5344827586206896,BNCI2014-001,1,0train
35,7,"(1, 1, 1)",0,0.9728260869565217,0.5869565217391305,1506,0.6379310344827587,BNCI2014-001,1,0train
36,7,"(1, 1, 1)",1,0.9728260869565217,0.6521739130434783,1506,0.5517241379310345,BNCI2014-001,1,0train
37,7,"(1, 1, 1)",2,0.9836956521739131,0.5869565217391305,1506,0.603448275862069,BNCI2014-001,1,0train
38,7,"(1, 1, 1)",3,0.9836956521739131,0.5869565217391305,1506,0.5172413793103449,BNCI2014-001,1,0train
39,7,"(1, 1, 1)",4,0.9836956521739131,0.6304347826086957,1506,0.5,BNCI2014-001,1,0train
40,8,"(4, 4, 4)",0,0.9728260869565217,0.5434782608695652,1570,0.5689655172413793,BNCI2014-001,1,0train
41,8,"(4, 4, 4)",1,0.9891304347826086,0.6521739130434783,1570,0.5344827586206896,BNCI2014-001,1,0train
42,8,"(4, 4, 4)",2,0.9836956521739131,0.6086956521739131,1570,0.5862068965517241,BNCI2014-001,1,0train
43,8,"(4, 4, 4)",3,0.9891304347826086,0.6086956521739131,1570,0.5172413793103449,BNCI2014-001,1,0train
44,8,"(4, 4, 4)",4,1.0,0.6956521739130435,1570,0.5172413793103449,BNCI2014-001,1,0train
45,9,"(1, 1, 1)",0,0.9728260869565217,0.5652173913043478,1571,0.5517241379310345,BNCI2014-001,1,0train
46,9,"(1, 1, 1)",1,0.9891304347826086,0.6956521739130435,1571,0.5172413793103449,BNCI2014-001,1,0train
47,9,"(1, 1, 1)",2,0.9836956521739131,0.6086956521739131,1571,0.6724137931034483,BNCI2014-001,1,0train
48,9,"(1, 1, 1)",3,0.9891304347826086,0.6086956521739131,1571,0.5,BNCI2014-001,1,0train
49,9,"(1, 1, 1)",4,1.0,0.6521739130434783,1571,0.5172413793103449,BNCI2014-001,1,0train
50,0,"(22, 4, 16)",0,0.9510869565217391,0.5217391304347826,1408,0.5,BNCI2014-001,1,1test
51,0,"(22, 4, 16)",1,0.9402173913043478,0.6304347826086957,1408,0.5862068965517241,BNCI2014-001,1,1test
52,0,"(22, 4, 16)",2,0.9402173913043478,0.5217391304347826,1408,0.5,BNCI2014-001,1,1test
53,0,"(22, 4, 16)",3,0.9728260869565217,0.6739130434782609,1408,0.4827586206896552,BNCI2014-001,1,1test
54,0,"(22, 4, 16)",4,0.9782608695652174,0.5434782608695652,1408,0.5862068965517241,BNCI2014-001,1,1test
55,1,"(22, 4, 16)",0,0.9782608695652174,0.5869565217391305,2816,0.5,BNCI2014-001,1,1test
56,1,"(22, 4, 16)",1,0.9945652173913043,0.5652173913043478,2816,0.5517241379310345,BNCI2014-001,1,1test
57,1,"(22, 4, 16)",2,0.9836956521739131,0.5869565217391305,2816,0.603448275862069,BNCI2014-001,1,1test
58,1,"(22, 4, 16)",3,0.9891304347826086,0.6521739130434783,2816,0.5517241379310345,BNCI2014-001,1,1test
59,1,"(22, 4, 16)",4,0.9891304347826086,0.6304347826086957,2816,0.603448275862069,BNCI2014-001,1,1test
60,2,"(2, 2, 2)",0,0.9728260869565217,0.6086956521739131,2824,0.5689655172413793,BNCI2014-001,1,1test
61,2,"(2, 2, 2)",1,0.9836956521739131,0.5652173913043478,2824,0.5172413793103449,BNCI2014-001,1,1test
62,2,"(2, 2, 2)",2,0.9782608695652174,0.5869565217391305,2824,0.5862068965517241,BNCI2014-001,1,1test
63,2,"(2, 2, 2)",3,0.9945652173913043,0.6739130434782609,2824,0.5517241379310345,BNCI2014-001,1,1test
64,2,"(2, 2, 2)",4,0.9891304347826086,0.6521739130434783,2824,0.603448275862069,BNCI2014-001,1,1test
