,index,block,rank,F_tr,F_rt,log_loss,mse,nmse,dataset,subject,session
0,0,1,"(22, 4, 16)",0.0003279242085862787,0.34013538081331396,0.0004449210364098236,3.191722891666206e-06,3.191722891666207e-06,BNCI2014-001,1,0train
1,1,2,"(2, 2, 2)",0.00032792425018687274,0.34176505943829055,0.0014631521069399635,3.0422368605092796e-06,3.0422368605092804e-06,BNCI2014-001,1,0train
2,2,3,"(2, 2, 2)",0.0003279242593946824,0.34339393642057836,0.005676072739773468,3.006526592045118e-06,3.0065265920451187e-06,BNCI2014-001,1,0train
3,3,4,"(4, 4, 4)",0.0003279242724980236,0.35639779820210565,0.006097500003057048,2.9188267179141685e-06,2.9188267179141694e-06,BNCI2014-001,1,0train
4,4,5,"(2, 2, 2)",0.00032792427529471427,0.35802005494465244,0.004229140940681438,2.908156444167618e-06,2.908156444167619e-06,BNCI2014-001,1,0train
5,5,6,"(1, 1, 1)",0.00032792427975891455,0.3582228238347933,0.0026867304625580735,2.9056913019746356e-06,2.9056913019746364e-06,BNCI2014-001,1,0train
6,6,7,"(2, 2, 2)",0.00032792428136477707,0.3598443033657875,0.006180599835600223,2.891995311333002e-06,2.891995311333003e-06,BNCI2014-001,1,0train
7,7,8,"(1, 1, 1)",0.00032792428290059336,0.3600469463123346,0.005054038672563272,2.889200915466025e-06,2.889200915466026e-06,BNCI2014-001,1,0train
8,8,9,"(4, 4, 4)",0.000327924284849719,0.37299423416656907,0.00058095542369843,2.8319242689217322e-06,2.831924268921733e-06,BNCI2014-001,1,0train
9,9,10,"(1, 1, 1)",0.0003279242863380694,0.3731962176612482,0.00031755380147882513,2.8283641356282875e-06,2.8283641356282883e-06,BNCI2014-001,1,0train
10,0,1,"(22, 4, 16)",0.0004283993387259141,0.42093190842665995,0.0032301646331000695,1.6070807594946478e-06,1.6070807594946478e-06,BNCI2014-001,1,1test
11,1,2,"(22, 4, 16)",0.0004283993723849018,0.7792393153450667,1.1939419334116157e-06,4.3657859671738994e-12,4.3657859671738994e-12,BNCI2014-001,1,1test
12,2,3,"(2, 2, 2)",0.00042839937238513417,0.7812574749368485,1.011627851577584e-06,4.186694805840301e-12,4.186694805840301e-12,BNCI2014-001,1,1test
13,3,4,"(2, 2, 2)",0.00042839937238516696,0.7832755183503883,8.305375286747223e-07,4.14685866554395e-12,4.14685866554395e-12,BNCI2014-001,1,1test
14,4,5,"(2, 2, 2)",0.00042839937238518805,0.7852934463952601,1.3093277596865838e-06,4.112379287623442e-12,4.112379287623442e-12,BNCI2014-001,1,1test
15,5,6,"(22, 4, 16)",0.00042839937238380726,1.1391773910689589,1.646595668844332e-12,3.795179578665142e-17,3.795179578665142e-17,BNCI2014-001,1,1test
16,6,7,"(2, 2, 2)",0.0004283993723838071,1.1411829749313336,1.6184183626638053e-12,3.776783381854674e-17,3.776783381854674e-17,BNCI2014-001,1,1test
17,7,8,"(2, 2, 2)",0.00042839937238380726,1.1431885177085974,1.6463343038405234e-12,3.762096574713121e-17,3.762096574713121e-17,BNCI2014-001,1,1test
18,8,9,"(2, 2, 2)",0.00042839937238380726,1.145194019600595,1.649322654149894e-12,3.7483859241494415e-17,3.7483859241494415e-17,BNCI2014-001,1,1test
19,9,10,"(2, 2, 2)",0.00042839937238380726,1.1471994808058659,1.6343708797563563e-12,3.739678348251372e-17,3.739678348251372e-17,BNCI2014-001,1,1test
20,0,1,"(22, 4, 16)",0.00011765236579471561,0.36133240095821945,0.0031004990185031544,1.3004379632224224e-06,1.3004379632224224e-06,BNCI2014-001,2,0train
21,1,2,"(4, 4, 4)",0.00011765237811595901,0.37579041684574616,0.0013828281380725694,1.2560279663146362e-06,1.2560279663146362e-06,BNCI2014-001,2,0train
22,2,3,"(2, 2, 2)",0.000117652381894285,0.3775958237543253,0.0011052131156934777,1.2518713908217099e-06,1.2518713908217099e-06,BNCI2014-001,2,0train
23,3,4,"(2, 2, 2)",0.00011765238556174227,0.3794008627826291,0.0014257609903167504,1.2388870297456585e-06,1.2388870297456585e-06,BNCI2014-001,2,0train
24,4,5,"(1, 1, 1)",0.00011765238687258086,0.37962646852184007,0.0016298477363888174,1.237834268490581e-06,1.237834268490581e-06,BNCI2014-001,2,0train
25,5,6,"(4, 4, 4)",0.00011765238851884778,0.39405231850062933,0.0006172293949401616,1.2219333890149673e-06,1.2219333890149673e-06,BNCI2014-001,2,0train
26,6,7,"(8, 4, 8)",0.00011765239775668977,0.4515486190442674,0.0004135861492484273,1.0919456565640745e-06,1.0919456565640745e-06,BNCI2014-001,2,0train
27,7,8,"(4, 4, 4)",0.00011765240074246676,0.4658794637974794,0.0005387006606153073,1.0564185014564928e-06,1.0564185014564928e-06,BNCI2014-001,2,0train
28,8,9,"(2, 2, 2)",0.00011765240225529321,0.4676697935347054,0.0004250245666176194,1.0496760208730099e-06,1.0496760208730099e-06,BNCI2014-001,2,0train
29,9,10,"(1, 1, 1)",0.00011765240277389965,0.467893579621336,0.0005417346171115277,1.0489325845804372e-06,1.0489325845804372e-06,BNCI2014-001,2,0train
