,score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0,0.6663037,11.597528,288.0,1,0train,22,2,BNCI2014-001,HODA
1,0.538052,8.234451,288.0,1,1test,22,2,BNCI2014-001,HODA
2,0.4862069,7.696589,288.0,2,0train,22,2,BNCI2014-001,HODA
3,0.3679371,19.446426,288.0,2,1test,22,2,BNCI2014-001,HODA
4,0.6877798,15.149331,288.0,3,0train,22,2,BNCI2014-001,HODA
5,0.7047792,7.8290653,288.0,3,1test,22,2,BNCI2014-001,HODA
6,0.37126437,9.424,288.0,4,0train,22,2,BNCI2014-001,HODA
7,0.43442225,8.275059,288.0,4,1test,22,2,BNCI2014-001,HODA
8,0.2814277,10.494094,288.0,5,0train,22,2,BNCI2014-001,HODA
9,0.3335148,12.284706,288.0,5,1test,22,2,BNCI2014-001,HODA
10,0.40986085,9.693273,288.0,6,0train,22,2,BNCI2014-001,HODA
11,0.40973988,10.968187,288.0,6,1test,22,2,BNCI2014-001,HODA
12,0.61451906,9.74926,288.0,7,0train,22,2,BNCI2014-001,HODA
13,0.5940109,9.055516,288.0,7,1test,22,2,BNCI2014-001,HODA
14,0.64948577,9.188119,288.0,8,0train,22,2,BNCI2014-001,HODA
15,0.56237143,9.658379,288.0,8,1test,22,2,BNCI2014-001,HODA
16,0.7395039,9.651433,288.0,9,0train,22,2,BNCI2014-001,HODA
17,0.78124624,9.603041,288.0,9,1test,22,2,BNCI2014-001,HODA
18,0.6903811,83.640274,288.0,1,0train,22,2,BNCI2014-001,BTTDA_10
19,0.52081066,75.245384,288.0,1,1test,22,2,BNCI2014-001,BTTDA_10
20,0.4828796,127.77136,288.0,2,0train,22,2,BNCI2014-001,BTTDA_10
21,0.3750756,131.72757,288.0,2,1test,22,2,BNCI2014-001,BTTDA_10
22,0.71887475,94.64683,288.0,3,0train,22,2,BNCI2014-001,BTTDA_10
23,0.7048397,78.33736,288.0,3,1test,22,2,BNCI2014-001,BTTDA_10
24,0.37447065,90.23007,288.0,4,0train,22,2,BNCI2014-001,BTTDA_10
25,0.5001815,99.822205,288.0,4,1test,22,2,BNCI2014-001,BTTDA_10
26,0.34404114,104.04793,288.0,5,0train,22,2,BNCI2014-001,BTTDA_10
27,0.32317,103.82246,288.0,5,1test,22,2,BNCI2014-001,BTTDA_10
28,0.38535994,96.975815,288.0,6,0train,22,2,BNCI2014-001,BTTDA_10
29,0.46194798,99.25737,288.0,6,1test,22,2,BNCI2014-001,BTTDA_10
30,0.6461585,85.24287,288.0,7,0train,22,2,BNCI2014-001,BTTDA_10
31,0.6527526,80.40709,288.0,7,1test,22,2,BNCI2014-001,BTTDA_10
32,0.6565638,103.66832,288.0,8,0train,22,2,BNCI2014-001,BTTDA_10
33,0.5588627,86.0335,288.0,8,1test,22,2,BNCI2014-001,BTTDA_10
34,0.74283123,86.4269,288.0,9,0train,22,2,BNCI2014-001,BTTDA_10
35,0.784513,81.68175,288.0,9,1test,22,2,BNCI2014-001,BTTDA_10
36,0.61433756,13.825775,288.0,1,0train,22,2,BNCI2014-001,PARAFACDA_10
37,0.6043557,13.462086,288.0,1,1test,22,2,BNCI2014-001,PARAFACDA_10
38,0.4274652,13.464896,288.0,2,0train,22,2,BNCI2014-001,PARAFACDA_10
39,0.33660012,25.955355,288.0,2,1test,22,2,BNCI2014-001,PARAFACDA_10
40,0.69788265,22.515934,288.0,3,0train,22,2,BNCI2014-001,PARAFACDA_10
41,0.7606171,13.248155,288.0,3,1test,22,2,BNCI2014-001,PARAFACDA_10
42,0.41639444,14.562776,288.0,4,0train,22,2,BNCI2014-001,PARAFACDA_10
43,0.5135511,14.778972,288.0,4,1test,22,2,BNCI2014-001,PARAFACDA_10
44,0.32347247,14.418161,288.0,5,0train,22,2,BNCI2014-001,PARAFACDA_10
45,0.284755,15.464457,288.0,5,1test,22,2,BNCI2014-001,PARAFACDA_10
46,0.39921355,14.716426,288.0,6,0train,22,2,BNCI2014-001,PARAFACDA_10
47,0.44428313,14.934771,288.0,6,1test,22,2,BNCI2014-001,PARAFACDA_10
48,0.60120994,13.4144745,288.0,7,0train,22,2,BNCI2014-001,PARAFACDA_10
49,0.6323049,12.705453,288.0,7,1test,22,2,BNCI2014-001,PARAFACDA_10
50,0.58663034,14.290805,288.0,8,0train,22,2,BNCI2014-001,PARAFACDA_10
51,0.6075015,14.591417,288.0,8,1test,22,2,BNCI2014-001,PARAFACDA_10
52,0.76709014,12.77906,288.0,9,0train,22,2,BNCI2014-001,PARAFACDA_10
53,0.76370233,13.7556505,288.0,9,1test,22,2,BNCI2014-001,PARAFACDA_10
