,score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0,0.9111111,8.012042,120.0,1,0train,3,5,BNCI2014-004,BTTDA_10
1,0.73055553,8.979523,120.0,1,1train,3,5,BNCI2014-004,BTTDA_10
2,0.9265625,9.647213,160.0,1,2train,3,5,BNCI2014-004,BTTDA_10
3,0.940625,9.688052,160.0,1,3test,3,5,BNCI2014-004,BTTDA_10
4,0.871875,10.193549,160.0,1,4test,3,5,BNCI2014-004,BTTDA_10
5,0.67083335,8.853811,120.0,2,0train,3,5,BNCI2014-004,BTTDA_10
6,0.56666666,9.447658,120.0,2,1train,3,5,BNCI2014-004,BTTDA_10
7,0.57734376,9.54008,160.0,2,2train,3,5,BNCI2014-004,BTTDA_10
8,0.59583336,9.226854,120.0,2,3test,3,5,BNCI2014-004,BTTDA_10
9,0.57109374,10.312028,160.0,2,4test,3,5,BNCI2014-004,BTTDA_10
10,0.5861111,9.409875,120.0,3,0train,3,5,BNCI2014-004,BTTDA_10
11,0.61527777,9.216823,120.0,3,1train,3,5,BNCI2014-004,BTTDA_10
12,0.640625,10.494423,160.0,3,2train,3,5,BNCI2014-004,BTTDA_10
13,0.4890625,9.85999,160.0,3,3test,3,5,BNCI2014-004,BTTDA_10
14,0.571875,10.886963,160.0,3,4test,3,5,BNCI2014-004,BTTDA_10
15,0.90833336,8.741666,120.0,4,0train,3,5,BNCI2014-004,BTTDA_10
16,0.99693877,9.126789,140.0,4,1train,3,5,BNCI2014-004,BTTDA_10
17,1.0,8.78751,160.0,4,2train,3,5,BNCI2014-004,BTTDA_10
18,1.0,7.831474,160.0,4,3test,3,5,BNCI2014-004,BTTDA_10
19,0.9859375,8.4479475,160.0,4,4test,3,5,BNCI2014-004,BTTDA_10
20,0.7583333,8.62536,120.0,5,0train,3,5,BNCI2014-004,BTTDA_10
21,0.94285715,9.534678,140.0,5,1train,3,5,BNCI2014-004,BTTDA_10
22,0.9703125,9.147567,160.0,5,2train,3,5,BNCI2014-004,BTTDA_10
23,0.96796876,9.953077,160.0,5,3test,3,5,BNCI2014-004,BTTDA_10
24,0.98515624,9.780338,160.0,5,4test,3,5,BNCI2014-004,BTTDA_10
25,0.8666667,8.597929,120.0,6,0train,3,5,BNCI2014-004,BTTDA_10
26,0.80138886,8.205357,120.0,6,1train,3,5,BNCI2014-004,BTTDA_10
27,0.8859375,9.415421,160.0,6,2train,3,5,BNCI2014-004,BTTDA_10
28,0.9640625,9.637375,160.0,6,3test,3,5,BNCI2014-004,BTTDA_10
29,0.9875,10.163323,160.0,6,4test,3,5,BNCI2014-004,BTTDA_10
30,0.6458333,9.032013,120.0,7,0train,3,5,BNCI2014-004,BTTDA_10
31,0.59583336,9.147793,120.0,7,1train,3,5,BNCI2014-004,BTTDA_10
32,0.8796875,8.995832,160.0,7,2train,3,5,BNCI2014-004,BTTDA_10
33,0.696875,9.634593,160.0,7,3test,3,5,BNCI2014-004,BTTDA_10
34,0.8695313,9.850869,160.0,7,4test,3,5,BNCI2014-004,BTTDA_10
35,0.60234374,9.857092,160.0,8,0train,3,5,BNCI2014-004,BTTDA_10
36,0.66805553,8.777631,120.0,8,1train,3,5,BNCI2014-004,BTTDA_10
37,0.96171874,9.717641,160.0,8,2train,3,5,BNCI2014-004,BTTDA_10
