,time,actual,count,condition,subject
0,476.5154640674591,13,13,covert,A06
1,516.6803381443024,12,12,split/1,A06
2,556.4913291931152,12,12,overt,A06
3,592.786012172699,10,10,split/1,A06
4,631.8406059741974,15,14,split/2,A06
5,669.7864270210266,10,10,split/2,A06
6,711.2759230136871,14,14,split/3,A06
7,750.7896401882172,12,12,split/1,A06
8,791.9354159832001,14,14,split/3,A06
9,831.948431968689,13,14,split/2,A06
10,873.3468310832977,13,12,split/2,A06
11,910.9913620948792,15,15,split/2,A06
12,951.0384562015532,12,12,split/2,A06
13,996.5548520088196,14,12,split/1,A06
14,1033.275255203247,10,10,covert,A06
15,1151.4140660762787,13,12,split/3,A06
16,1192.469084024429,12,12,split/2,A06
17,1229.605901002884,10,9,split/3,A06
18,1268.9271881580353,14,14,overt,A06
19,1307.0148251056671,13,12,split/3,A06
20,1346.7602171897888,10,9,split/1,A06
21,1388.2420811653135,13,13,split/2,A06
22,1438.210725069046,10,10,split/2,A06
23,1478.881812095642,14,12,split/1,A06
24,1519.2226991653442,14,13,split/2,A06
25,1558.3996319770813,13,12,covert,A06
26,1595.8703820705414,13,13,split/1,A06
27,1637.243578195572,15,14,split/1,A06
28,1678.2062230110168,15,15,overt,A06
29,1775.8168580532074,11,10,split/1,A06
30,1814.246834039688,12,12,overt,A06
31,1854.2762429714203,10,10,covert,A06
32,1893.806398153305,13,13,overt,A06
33,1934.928623199463,13,13,covert,A06
34,1970.7063059806824,12,12,split/3,A06
35,2012.4447371959689,11,11,split/2,A06
36,2048.4229819774628,11,11,overt,A06
37,2086.06033205986,15,14,split/1,A06
38,2126.439666032791,14,14,split/1,A06
39,2165.961104154587,13,12,covert,A06
40,2204.84144616127,15,14,split/1,A06
41,2244.2376980781555,14,13,split/2,A06
42,939.1498138904572,10,10,split/1,A03
43,992.829302072525,12,11,covert,A03
44,1038.9542639255524,10,10,overt,A03
45,1083.6115489006042,12,12,split/2,A03
46,1127.518833875656,15,14,split/3,A03
47,1172.934963941574,12,10,split/1,A03
48,1216.1506869792938,10,10,split/1,A03
49,1261.4906919002533,10,10,overt,A03
50,1305.214833021164,12,11,split/3,A03
51,1351.0066809654236,15,15,split/1,A03
52,1397.3555200099945,14,10,covert,A03
53,1445.5156919956207,14,13,split/1,A03
54,1487.5659019947052,10,7,covert,A03
55,1585.057344913483,11,11,split/1,A03
56,1627.4986629486084,15,13,split/2,A03
57,1735.4138288497925,12,12,split/2,A03
58,1775.2289969921112,12,12,overt,A03
59,1817.141762018204,14,14,split/3,A03
60,1858.5977108478544,14,13,split/2,A03
61,1905.0891199111936,14,12,split/3,A03
62,1947.8452339172363,13,13,overt,A03
63,1990.1123280525208,10,11,split/1,A03
64,2030.6158299446104,11,10,split/2,A03
65,2071.087194919586,12,12,covert,A03
66,2117.7453339099884,13,12,split/2,A03
67,2160.3690490722656,10,10,split/1,A03
68,2200.523159980774,14,14,split/2,A03
69,2240.403482913971,13,11,covert,A03
70,2284.785714864731,15,13,overt,A03
71,2416.5739250183105,11,11,split/1,A03
72,2460.2496678829198,13,13,split/3,A03
73,2497.984452009201,12,12,overt,A03
74,2538.998808860779,14,14,split/2,A03
75,2579.103271007538,11,11,split/1,A03
76,2622.577875852585,14,14,split/3,A03
77,2665.3252890110016,13,10,split/2,A03
78,2707.464765071869,10,10,split/2,A03
79,2749.688381910324,13,12,split/2,A03
80,2793.8277900218964,11,12,split/1,A03
81,2841.137585878372,10,9,split/2,A03
82,2889.429157018661,14,13,split/1,A03
83,2931.577882051468,15,16,covert,A03
84,372.6870828000001,15,15,overt,A12
85,413.6029216000006,14,14,split/1,A12
86,450.6951767000001,12,12,split/2,A12
87,486.9631184,12,12,covert,A12
88,526.2904619000001,10,10,split/3,A12
89,567.3993108000004,15,15,split/1,A12
90,604.7672367000005,14,14,split/3,A12
91,641.5952258000007,12,12,split/1,A12
92,682.9947947,12,12,overt,A12
93,723.0741175000003,12,11,split/3,A12
94,759.9507369000003,15,15,covert,A12
95,802.8664721000005,12,12,split/1,A12
96,838.9440556000009,15,15,split/1,A12
97,875.4099726000004,13,13,split/1,A12
98,916.1703481000004,11,11,split/2,A12
99,1042.6750033000008,14,14,split/2,A12
100,1083.4221610000004,15,15,split/1,A12
101,1126.2487427000003,14,14,split/2,A12
102,1168.7675370000006,14,14,split/1,A12
103,1207.7946881000007,10,10,split/3,A12
104,1252.5498717,15,15,split/1,A12
105,1292.3903122000002,13,12,covert,A12
106,1331.0610984000004,14,14,overt,A12
107,1369.7867106000003,11,11,split/2,A12
108,1407.6129825000007,15,15,split/1,A12
109,1449.4630370000004,10,10,split/1,A12
110,1486.9868466000007,14,14,covert,A12
111,1551.4905517999996,14,14,split/2,A12
112,1590.8440256000013,14,13,overt,A12
113,1673.8013310000006,10,10,split/2,A12
114,1715.3551039000013,11,12,split/2,A12
115,1753.054762400001,15,15,overt,A12
116,1791.7512826000002,14,14,covert,A12
117,1829.5752171000004,10,11,covert,A12
118,1867.995063800001,13,13,split/2,A12
119,1907.9292771,10,10,split/2,A12
120,1949.0653234,13,13,split/2,A12
121,1987.235213900001,12,12,split/3,A12
122,2026.7945557000005,14,14,overt,A12
123,2064.7109352000007,12,12,split/2,A12
124,2105.0338393,13,13,split/3,A12
125,2142.753349300001,10,10,split/1,A12
126,1589.904737200006,13,13,split/1,A14
127,1634.6387144000037,12,10,split/2,A14
128,1675.092806700006,13,10,split/2,A14
129,1719.136923699989,10,8,split/2,A14
130,1759.9242430999875,12,7,covert,A14
131,1800.895895099995,12,12,overt,A14
132,1843.5152878999943,11,12,split/2,A14
133,1886.4276812000023,11,11,split/1,A14
134,1931.4901617,12,8,split/1,A14
135,1981.2787359000067,11,8,split/3,A14
136,2022.920460299996,10,9,covert,A14
137,2061.304697499989,10,10,split/1,A14
138,2101.399972399988,14,14,overt,A14
139,2140.8492692,15,15,overt,A14
140,2180.738498999999,12,12,overt,A14
141,2303.891302700009,14,13,covert,A14
142,2344.069345099997,13,12,split/2,A14
143,2382.9029021000024,15,13,split/1,A14
144,2422.8611205999914,11,7,split/3,A14
145,2459.8116501999903,10,8,covert,A14
146,2497.8932597000094,13,11,split/1,A14
147,2540.2186121999985,15,12,split/2,A14
148,2582.6076696999958,11,9,covert,A14
149,2626.620304199984,13,13,split/2,A14
150,2666.7524882,12,11,covert,A14
151,2709.536633299984,15,12,split/3,A14
152,2751.347861599992,15,10,split/2,A14
153,2792.400064699992,13,11,split/1,A14
154,2837.9932363999837,14,14,overt,A14
155,2907.492970499996,14,12,split/1,A14
156,2948.018034299981,15,13,split/3,A14
157,2986.8808758000087,10,8,split/1,A14
158,3032.158733599994,14,14,split/3,A14
159,3070.479842200002,11,10,split/2,A14
160,3112.5368940999906,15,14,split/2,A14
161,3149.8437746999844,15,14,overt,A14
162,3192.4785230999987,14,11,split/3,A14
163,3235.0984711000056,14,9,split/1,A14
164,3271.2401733000006,10,8,split/1,A14
165,3311.102400600008,12,10,split/2,A14
166,3352.223346099985,15,15,split/2,A14
167,3389.834881899995,10,10,split/1,A14
168,661.5997469425201,10,10,split/2,A02
169,701.8282270431519,14,14,covert,A02
170,744.7273581027985,11,10,overt,A02
171,787.4001290798187,15,14,split/1,A02
172,829.0470340251923,14,14,split/3,A02
173,868.9021940231323,15,15,split/1,A02
174,906.9057409763336,15,14,split/1,A02
175,946.4530770778656,12,12,split/2,A02
176,985.882427930832,11,11,covert,A02
177,1027.5306689739227,13,13,split/1,A02
178,1070.5626308918,15,15,split/1,A02
179,1112.7842259407043,11,11,split/1,A02
180,1155.1066799163818,13,13,split/2,A02
181,1194.1950690746307,11,11,split/1,A02
182,1235.3173279762268,15,15,split/2,A02
183,1420.8836359977722,13,13,covert,A02
184,1461.3815729618073,15,14,split/3,A02
185,1501.310928106308,11,11,split/1,A02
186,1544.30113697052,13,13,split/2,A02
187,1585.1652410030365,11,11,covert,A02
188,1627.4212698936462,11,11,split/2,A02
189,1668.293015956879,12,12,split/3,A02
