,dataset,condition,label,evoked,subject,evoked_path
0,CVSA-ERP,overt,target,"<Evoked | 'target' (average, N=57), -0.195 – 0.9975 s, baseline -0.2 – 0 s, 15 ch, ~67 kB>",A08,evokeds/CVSA-ERP/A08_overt_target.fif
1,CVSA-ERP,overt,non-target,"<Evoked | 'non-target' (average, N=292), -0.195 – 0.9975 s, baseline -0.2 – 0 s, 15 ch, ~67 kB>",A08,evokeds/CVSA-ERP/A08_overt_non-target.fif
2,CVSA-ERP,covert,non-target,"<Evoked | 'non-target' (average, N=227), -0.195 – 0.9975 s, baseline -0.2 – 0 s, 15 ch, ~67 kB>",A08,evokeds/CVSA-ERP/A08_covert_non-target.fif
3,CVSA-ERP,covert,target,"<Evoked | 'target' (average, N=40), -0.195 – 0.9975 s, baseline -0.2 – 0 s, 15 ch, ~67 kB>",A08,evokeds/CVSA-ERP/A08_covert_target.fif
4,CVSA-ERP,split ($d=1$),non-target,"<Evoked | 'non-target' (average, N=343), -0.195 – 0.9975 s, baseline -0.2 – 0 s, 15 ch, ~67 kB>",A08,evokeds/CVSA-ERP/A08_split ($d=1$)_non-target.fif
5,CVSA-ERP,split ($d=1$),target,"<Evoked | 'target' (average, N=83), -0.195 – 0.9975 s, baseline -0.2 – 0 s, 15 ch, ~67 kB>",A08,evokeds/CVSA-ERP/A08_split ($d=1$)_target.fif
6,CVSA-ERP,split ($d=1$),distractor,"<Evoked | 'non-target' (average, N=87), -0.195 – 0.9975 s, baseline -0.2 – 0 s, 15 ch, ~67 kB>",A08,evokeds/CVSA-ERP/A08_split ($d=1$)_distractor.fif
7,CVSA-ERP,split ($d=2$),distractor,"<Evoked | 'non-target' (average, N=90), -0.195 – 0.9975 s, baseline -0.2 – 0 s, 15 ch, ~67 kB>",A08,evokeds/CVSA-ERP/A08_split ($d=2$)_distractor.fif
8,CVSA-ERP,split ($d=2$),non-target,"<Evoked | 'non-target' (average, N=361), -0.195 – 0.9975 s, baseline -0.2 – 0 s, 15 ch, ~67 kB>",A08,evokeds/CVSA-ERP/A08_split ($d=2$)_non-target.fif
9,CVSA-ERP,split ($d=2$),target,"<Evoked | 'target' (average, N=92), -0.195 – 0.9975 s, baseline -0.2 – 0 s, 15 ch, ~67 kB>",A08,evokeds/CVSA-ERP/A08_split ($d=2$)_target.fif
10,CVSA-ERP,split ($d=3$),non-target,"<Evoked | 'non-target' (average, N=229), -0.195 – 0.9975 s, baseline -0.2 – 0 s, 15 ch, ~67 kB>",A08,evokeds/CVSA-ERP/A08_split ($d=3$)_non-target.fif
11,CVSA-ERP,split ($d=3$),target,"<Evoked | 'target' (average, N=56), -0.195 – 0.9975 s, baseline -0.2 – 0 s, 15 ch, ~67 kB>",A08,evokeds/CVSA-ERP/A08_split ($d=3$)_target.fif
12,CVSA-ERP,split ($d=3$),distractor,"<Evoked | 'non-target' (average, N=55), -0.195 – 0.9975 s, baseline -0.2 – 0 s, 15 ch, ~67 kB>",A08,evokeds/CVSA-ERP/A08_split ($d=3$)_distractor.fif
13,CVSA-ERP,overt,non-target,"<Evoked | 'non-target' (average, N=295), -0.195 – 0.9975 s, baseline -0.2 – 0 s, 15 ch, ~67 kB>",A13,evokeds/CVSA-ERP/A13_overt_non-target.fif
14,CVSA-ERP,overt,target,"<Evoked | 'target' (average, N=59), -0.195 – 0.9975 s, baseline -0.2 – 0 s, 15 ch, ~67 kB>",A13,evokeds/CVSA-ERP/A13_overt_target.fif
15,CVSA-ERP,covert,non-target,"<Evoked | 'non-target' (average, N=298), -0.195 – 0.9975 s, baseline -0.2 – 0 s, 15 ch, ~67 kB>",A13,evokeds/CVSA-ERP/A13_covert_non-target.fif
16,CVSA-ERP,covert,target,"<Evoked | 'target' (average, N=60), -0.195 – 0.9975 s, baseline -0.2 – 0 s, 15 ch, ~67 kB>",A13,evokeds/CVSA-ERP/A13_covert_target.fif
17,CVSA-ERP,split ($d=1$),distractor,"<Evoked | 'non-target' (average, N=106), -0.195 – 0.9975 s, baseline -0.2 – 0 s, 15 ch, ~67 kB>",A13,evokeds/CVSA-ERP/A13_split ($d=1$)_distractor.fif
18,CVSA-ERP,split ($d=1$),non-target,"<Evoked | 'non-target' (average, N=432), -0.195 – 0.9975 s, baseline -0.2 – 0 s, 15 ch, ~67 kB>",A13,evokeds/CVSA-ERP/A13_split ($d=1$)_non-target.fif
19,CVSA-ERP,split ($d=1$),target,"<Evoked | 'target' (average, N=109), -0.195 – 0.9975 s, baseline -0.2 – 0 s, 15 ch, ~67 kB>",A13,evokeds/CVSA-ERP/A13_split ($d=1$)_target.fif
20,CVSA-ERP,split ($d=2$),non-target,"<Evoked | 'non-target' (average, N=473), -0.195 – 0.9975 s, baseline -0.2 – 0 s, 15 ch, ~67 kB>",A13,evokeds/CVSA-ERP/A13_split ($d=2$)_non-target.fif
21,CVSA-ERP,split ($d=2$),distractor,"<Evoked | 'non-target' (average, N=118), -0.195 – 0.9975 s, baseline -0.2 – 0 s, 15 ch, ~67 kB>",A13,evokeds/CVSA-ERP/A13_split ($d=2$)_distractor.fif
22,CVSA-ERP,split ($d=2$),target,"<Evoked | 'target' (average, N=118), -0.195 – 0.9975 s, baseline -0.2 – 0 s, 15 ch, ~67 kB>",A13,evokeds/CVSA-ERP/A13_split ($d=2$)_target.fif
23,CVSA-ERP,split ($d=3$),non-target,"<Evoked | 'non-target' (average, N=240), -0.195 – 0.9975 s, baseline -0.2 – 0 s, 15 ch, ~67 kB>",A13,evokeds/CVSA-ERP/A13_split ($d=3$)_non-target.fif
24,CVSA-ERP,split ($d=3$),target,"<Evoked | 'target' (average, N=60), -0.195 – 0.9975 s, baseline -0.2 – 0 s, 15 ch, ~67 kB>",A13,evokeds/CVSA-ERP/A13_split ($d=3$)_target.fif
25,CVSA-ERP,split ($d=3$),distractor,"<Evoked | 'non-target' (average, N=60), -0.195 – 0.9975 s, baseline -0.2 – 0 s, 15 ch, ~67 kB>",A13,evokeds/CVSA-ERP/A13_split ($d=3$)_distractor.fif
