,accuracy,n_trials,subject,condition,model,fold
0,0.3333333333333333,1,A03,S,CBLE,0
0,0.5,2,A03,S,CBLE,0
0,0.5833333333333334,3,A03,S,CBLE,0
0,0.6666666666666666,4,A03,S,CBLE,0
0,0.6666666666666666,5,A03,S,CBLE,0
0,0.75,6,A03,S,CBLE,0
0,0.75,7,A03,S,CBLE,0
0,0.75,8,A03,S,CBLE,0
0,0.08333333333333333,1,A03,S,CBLE,1
0,0.5833333333333334,2,A03,S,CBLE,1
0,0.5833333333333334,3,A03,S,CBLE,1
0,0.6666666666666666,4,A03,S,CBLE,1
0,0.75,5,A03,S,CBLE,1
0,0.6666666666666666,6,A03,S,CBLE,1
0,0.6666666666666666,7,A03,S,CBLE,1
0,0.6666666666666666,8,A03,S,CBLE,1
0,0.0,1,A03,S,CBLE,2
0,0.08333333333333333,2,A03,S,CBLE,2
0,0.25,3,A03,S,CBLE,2
0,0.6666666666666666,4,A03,S,CBLE,2
0,0.5833333333333334,5,A03,S,CBLE,2
0,0.75,6,A03,S,CBLE,2
0,0.8333333333333334,7,A03,S,CBLE,2
0,0.8333333333333334,8,A03,S,CBLE,2
0,0.3333333333333333,1,A03,S,wCBLE,0
0,0.5,2,A03,S,wCBLE,0
0,0.5833333333333334,3,A03,S,wCBLE,0
0,0.6666666666666666,4,A03,S,wCBLE,0
0,0.75,5,A03,S,wCBLE,0
0,0.75,6,A03,S,wCBLE,0
0,0.75,7,A03,S,wCBLE,0
0,0.75,8,A03,S,wCBLE,0
0,0.25,1,A03,S,wCBLE,1
0,0.75,2,A03,S,wCBLE,1
0,0.6666666666666666,3,A03,S,wCBLE,1
0,0.6666666666666666,4,A03,S,wCBLE,1
0,0.6666666666666666,5,A03,S,wCBLE,1
0,0.6666666666666666,6,A03,S,wCBLE,1
0,0.75,7,A03,S,wCBLE,1
0,0.75,8,A03,S,wCBLE,1
0,0.16666666666666666,1,A03,S,wCBLE,2
0,0.08333333333333333,2,A03,S,wCBLE,2
0,0.4166666666666667,3,A03,S,wCBLE,2
0,0.5,4,A03,S,wCBLE,2
0,0.5833333333333334,5,A03,S,wCBLE,2
0,0.5833333333333334,6,A03,S,wCBLE,2
0,0.6666666666666666,7,A03,S,wCBLE,2
0,0.75,8,A03,S,wCBLE,2
0,0.5,1,A03,S,tLDA,0
0,0.5,2,A03,S,tLDA,0
0,0.5833333333333334,3,A03,S,tLDA,0
0,0.6666666666666666,4,A03,S,tLDA,0
0,0.6666666666666666,5,A03,S,tLDA,0
0,0.75,6,A03,S,tLDA,0
0,0.75,7,A03,S,tLDA,0
0,0.75,8,A03,S,tLDA,0
0,0.16666666666666666,1,A03,S,tLDA,1
0,0.5,2,A03,S,tLDA,1
0,0.5,3,A03,S,tLDA,1
0,0.6666666666666666,4,A03,S,tLDA,1
0,0.75,5,A03,S,tLDA,1
0,0.6666666666666666,6,A03,S,tLDA,1
0,0.6666666666666666,7,A03,S,tLDA,1
0,0.6666666666666666,8,A03,S,tLDA,1
0,0.16666666666666666,1,A03,S,tLDA,2
0,0.08333333333333333,2,A03,S,tLDA,2
0,0.25,3,A03,S,tLDA,2
0,0.5833333333333334,4,A03,S,tLDA,2
0,0.75,5,A03,S,tLDA,2
0,0.8333333333333334,6,A03,S,tLDA,2
0,0.8333333333333334,7,A03,S,tLDA,2
0,0.9166666666666666,8,A03,S,tLDA,2
0,0.5833333333333334,1,A03,G,CBLE,0
0,0.75,2,A03,G,CBLE,0
0,0.9166666666666666,3,A03,G,CBLE,0
0,0.9166666666666666,4,A03,G,CBLE,0
0,1.0,5,A03,G,CBLE,0
0,1.0,6,A03,G,CBLE,0
0,1.0,7,A03,G,CBLE,0
0,1.0,8,A03,G,CBLE,0
0,0.3333333333333333,1,A03,G,CBLE,1
0,0.8333333333333334,2,A03,G,CBLE,1
0,1.0,3,A03,G,CBLE,1
0,1.0,4,A03,G,CBLE,1
0,0.9166666666666666,5,A03,G,CBLE,1
0,0.9166666666666666,6,A03,G,CBLE,1
0,1.0,7,A03,G,CBLE,1
0,0.9166666666666666,8,A03,G,CBLE,1
0,0.75,1,A03,G,CBLE,2
0,0.6666666666666666,2,A03,G,CBLE,2
0,0.9166666666666666,3,A03,G,CBLE,2
0,0.75,4,A03,G,CBLE,2
0,0.75,5,A03,G,CBLE,2
0,0.75,6,A03,G,CBLE,2
0,0.8333333333333334,7,A03,G,CBLE,2
0,0.8333333333333334,8,A03,G,CBLE,2
0,0.5,1,A03,G,wCBLE,0
0,0.75,2,A03,G,wCBLE,0
0,0.9166666666666666,3,A03,G,wCBLE,0
0,1.0,4,A03,G,wCBLE,0
0,1.0,5,A03,G,wCBLE,0
0,1.0,6,A03,G,wCBLE,0
0,1.0,7,A03,G,wCBLE,0
0,1.0,8,A03,G,wCBLE,0
0,0.4166666666666667,1,A03,G,wCBLE,1
0,0.9166666666666666,2,A03,G,wCBLE,1
0,0.8333333333333334,3,A03,G,wCBLE,1
0,1.0,4,A03,G,wCBLE,1
0,1.0,5,A03,G,wCBLE,1
0,1.0,6,A03,G,wCBLE,1
0,1.0,7,A03,G,wCBLE,1
0,1.0,8,A03,G,wCBLE,1
0,0.6666666666666666,1,A03,G,wCBLE,2
0,0.8333333333333334,2,A03,G,wCBLE,2
0,1.0,3,A03,G,wCBLE,2
0,1.0,4,A03,G,wCBLE,2
0,0.9166666666666666,5,A03,G,wCBLE,2
