,index,roc_auc,model,fold,subject,session,train_cond,test_cond
0,0,0.6869198312236287,CBLE,0,A05,1,G,G
1,0,0.6107723577235772,CBLE,0,A05,1,G,S
2,0,0.6867469879518072,CBLE,0,A05,1,G,mix
3,0,0.7139240506329114,CBLE,1,A05,1,G,G
4,0,0.743421052631579,CBLE,1,A05,1,G,S
5,0,0.6979166666666667,CBLE,1,A05,1,G,mix
6,0,0.6009615384615384,CBLE,2,A05,1,G,G
7,0,0.6,CBLE,2,A05,1,G,S
8,0,0.6737967914438502,CBLE,2,A05,1,G,mix
9,0,0.7251602564102564,CBLE,3,A05,1,G,G
10,0,0.6321428571428571,CBLE,3,A05,1,G,S
11,0,0.6614864864864864,CBLE,3,A05,1,G,mix
12,0,0.6850961538461539,CBLE,4,A05,1,G,G
13,0,0.7288011695906432,CBLE,4,A05,1,G,S
14,0,0.7456140350877193,CBLE,4,A05,1,G,mix
15,0,0.6987179487179488,CBLE,5,A05,1,G,G
16,0,0.6049679487179487,CBLE,5,A05,1,G,S
17,0,0.6351626016260162,CBLE,5,A05,1,G,mix
18,0,0.7130801687763714,wCBLE,0,A05,1,G,G
19,0,0.6249184605348989,wCBLE,0,A05,1,G,S
20,0,0.7944996180290298,wCBLE,0,A05,1,G,mix
21,0,0.6286919831223629,wCBLE,1,A05,1,G,G
22,0,0.6098214285714285,wCBLE,1,A05,1,G,S
23,0,0.6560788608981379,wCBLE,1,A05,1,G,mix
24,0,0.5705128205128205,wCBLE,2,A05,1,G,G
25,0,0.7948232323232323,wCBLE,2,A05,1,G,S
26,0,0.5867074102368219,wCBLE,2,A05,1,G,mix
27,0,0.6650641025641025,wCBLE,3,A05,1,G,G
28,0,0.8528015194681862,wCBLE,3,A05,1,G,S
29,0,0.6714150047483382,wCBLE,3,A05,1,G,mix
30,0,0.5817307692307693,wCBLE,4,A05,1,G,G
31,0,0.5547619047619048,wCBLE,4,A05,1,G,S
32,0,0.6748737373737375,wCBLE,4,A05,1,G,mix
33,0,0.6650641025641025,wCBLE,5,A05,1,G,G
34,0,0.4623983739837398,wCBLE,5,A05,1,G,S
35,0,0.6937500000000001,wCBLE,5,A05,1,G,mix
36,0,0.6253164556962025,tLDA,0,A05,1,G,G
37,0,0.6900406504065041,tLDA,0,A05,1,G,S
38,0,0.5988095238095239,tLDA,0,A05,1,G,mix
39,0,0.6337552742616034,tLDA,1,A05,1,G,G
40,0,0.6760886172650878,tLDA,1,A05,1,G,S
41,0,0.6657169990503324,tLDA,1,A05,1,G,mix
42,0,0.6931089743589743,tLDA,2,A05,1,G,G
43,0,0.7493670886075949,tLDA,2,A05,1,G,S
44,0,0.7558479532163743,tLDA,2,A05,1,G,mix
45,0,0.7219551282051282,tLDA,3,A05,1,G,G
46,0,0.7604166666666666,tLDA,3,A05,1,G,S
47,0,0.6175438596491227,tLDA,3,A05,1,G,mix
48,0,0.782051282051282,tLDA,4,A05,1,G,G
49,0,0.5964912280701754,tLDA,4,A05,1,G,S
50,0,0.726608187134503,tLDA,4,A05,1,G,mix
51,0,0.6041666666666666,tLDA,5,A05,1,G,G
52,0,0.5270655270655271,tLDA,5,A05,1,G,S
53,0,0.5849358974358974,tLDA,5,A05,1,G,mix
54,0,0.42924976258309594,CBLE,0,A05,1,S,G
55,0,0.9206751054852321,CBLE,0,A05,1,S,S
56,0,0.7173414820473644,CBLE,0,A05,1,S,mix
57,0,0.7283680175246441,CBLE,1,A05,1,S,G
58,0,0.989029535864979,CBLE,1,A05,1,S,S
59,0,0.943089430894309,CBLE,1,A05,1,S,mix
60,0,0.7066666666666667,CBLE,2,A05,1,S,G
61,0,1.0,CBLE,2,A05,1,S,S
62,0,0.7848101265822786,CBLE,2,A05,1,S,mix
63,0,0.46065699006875477,CBLE,3,A05,1,S,G
64,0,0.9738396624472574,CBLE,3,A05,1,S,S
65,0,0.7364400305576776,CBLE,3,A05,1,S,mix
66,0,0.6602564102564102,CBLE,4,A05,1,S,G
67,0,0.9543269230769231,CBLE,4,A05,1,S,S
68,0,0.766025641025641,CBLE,4,A05,1,S,mix
69,0,0.5891812865497076,CBLE,5,A05,1,S,G
70,0,0.9951923076923077,CBLE,5,A05,1,S,S
71,0,0.7922077922077922,CBLE,5,A05,1,S,mix
72,0,0.5946428571428571,wCBLE,0,A05,1,S,G
73,0,0.940928270042194,wCBLE,0,A05,1,S,S
74,0,0.8036616161616161,wCBLE,0,A05,1,S,mix
75,0,0.6473214285714285,wCBLE,1,A05,1,S,G
76,0,0.9932489451476793,wCBLE,1,A05,1,S,S
77,0,0.8097784568372803,wCBLE,1,A05,1,S,mix
78,0,0.5277027027027027,wCBLE,2,A05,1,S,G
79,0,0.9856540084388186,wCBLE,2,A05,1,S,S
80,0,0.6652631578947368,wCBLE,2,A05,1,S,mix
81,0,0.6263513513513512,wCBLE,3,A05,1,S,G
82,0,0.9797468354430381,wCBLE,3,A05,1,S,S
83,0,0.5857142857142857,wCBLE,3,A05,1,S,mix
84,0,0.6362869198312237,wCBLE,4,A05,1,S,G
85,0,0.9270833333333334,wCBLE,4,A05,1,S,S
86,0,0.8580357142857142,wCBLE,4,A05,1,S,mix
87,0,0.5366922234392113,wCBLE,5,A05,1,S,G
88,0,0.9783653846153847,wCBLE,5,A05,1,S,S
89,0,0.8729674796747967,wCBLE,5,A05,1,S,mix
90,0,0.5385790679908327,tLDA,0,A05,1,S,G
91,0,0.9578059071729957,tLDA,0,A05,1,S,S
92,0,0.7156432748538012,tLDA,0,A05,1,S,mix
93,0,0.48438818565400843,tLDA,1,A05,1,S,G
94,0,0.9223628691983122,tLDA,1,A05,1,S,S
95,0,0.6571699905033238,tLDA,1,A05,1,S,mix
96,0,0.6931089743589743,tLDA,2,A05,1,S,G
97,0,0.9983122362869198,tLDA,2,A05,1,S,S
98,0,0.7885135135135136,tLDA,2,A05,1,S,mix
99,0,0.529113924050633,tLDA,3,A05,1,S,G
100,0,0.9848101265822785,tLDA,3,A05,1,S,S
101,0,0.7654008438818566,tLDA,3,A05,1,S,mix
102,0,0.6997708174178762,tLDA,4,A05,1,S,G
103,0,0.9599358974358974,tLDA,4,A05,1,S,S
104,0,0.8661858974358975,tLDA,4,A05,1,S,mix
105,0,0.4580357142857143,tLDA,5,A05,1,S,G
106,0,0.9863782051282052,tLDA,5,A05,1,S,S
