,index,roc_auc,model,fold,subject,session,train_cond,test_cond
0,0,0.8432900432900433,Riemann,0,A09,1,G,G
1,0,0.7520833333333332,Riemann,0,A09,1,G,S
2,0,0.7835497835497836,Riemann,0,A09,1,G,mix
3,0,0.8133223684210527,Riemann,1,A09,1,G,G
4,0,0.7565725413826679,Riemann,1,A09,1,G,S
5,0,0.8101960784313725,Riemann,1,A09,1,G,mix
6,0,0.734375,Riemann,2,A09,1,G,G
7,0,0.7552941176470588,Riemann,2,A09,1,G,S
8,0,0.7152014652014652,Riemann,2,A09,1,G,mix
9,0,0.8245614035087719,Riemann,3,A09,1,G,G
10,0,0.7674571805006588,Riemann,3,A09,1,G,S
11,0,0.8895463510848126,Riemann,3,A09,1,G,mix
12,0,0.9271929824561403,Riemann,4,A09,1,G,G
13,0,0.8604938271604938,Riemann,4,A09,1,G,S
14,0,0.8649789029535865,Riemann,4,A09,1,G,mix
15,0,0.7429824561403509,Riemann,5,A09,1,G,G
16,0,0.6186046511627907,Riemann,5,A09,1,G,S
17,0,0.7008333333333333,Riemann,5,A09,1,G,mix
18,0,0.5395833333333333,Riemann,0,A09,1,S,G
19,0,0.8883116883116884,Riemann,0,A09,1,S,S
20,0,0.7697456492637216,Riemann,0,A09,1,S,mix
21,0,0.7227833894500562,Riemann,1,A09,1,S,G
22,0,0.9073593073593074,Riemann,1,A09,1,S,S
23,0,0.7791666666666667,Riemann,1,A09,1,S,mix
24,0,0.6145833333333334,Riemann,2,A09,1,S,G
25,0,0.9186147186147187,Riemann,2,A09,1,S,S
26,0,0.8395833333333333,Riemann,2,A09,1,S,mix
27,0,0.7460606060606061,Riemann,3,A09,1,S,G
28,0,0.7170686456400742,Riemann,3,A09,1,S,S
29,0,0.806508875739645,Riemann,3,A09,1,S,mix
30,0,0.8048245614035088,Riemann,4,A09,1,S,G
31,0,0.9369202226345084,Riemann,4,A09,1,S,S
32,0,0.8122362869198313,Riemann,4,A09,1,S,mix
33,0,0.6587771203155818,Riemann,5,A09,1,S,G
34,0,0.8432282003710576,Riemann,5,A09,1,S,S
35,0,0.8191666666666666,Riemann,5,A09,1,S,mix
36,0,0.7913419913419915,Riemann,0,A09,1,mix,G
37,0,0.8832236842105263,Riemann,0,A09,1,mix,S
38,0,0.7264069264069264,Riemann,0,A09,1,mix,mix
39,0,0.7432432432432432,Riemann,1,A09,1,mix,G
40,0,0.8875,Riemann,1,A09,1,mix,S
41,0,0.7290043290043291,Riemann,1,A09,1,mix,mix
42,0,0.836996336996337,Riemann,2,A09,1,mix,G
43,0,0.8607594936708861,Riemann,2,A09,1,mix,S
44,0,0.8320346320346321,Riemann,2,A09,1,mix,mix
45,0,0.8385899814471243,Riemann,3,A09,1,mix,G
46,0,0.8698830409356726,Riemann,3,A09,1,mix,S
47,0,0.9294990723562152,Riemann,3,A09,1,mix,mix
48,0,0.7708333333333333,Riemann,4,A09,1,mix,G
49,0,0.825,Riemann,4,A09,1,mix,S
50,0,0.8636363636363636,Riemann,4,A09,1,mix,mix
51,0,0.7517543859649123,Riemann,5,A09,1,mix,G
52,0,0.9681818181818181,Riemann,5,A09,1,mix,S
53,0,0.7801484230055659,Riemann,5,A09,1,mix,mix
54,0,0.8515625,Riemann,0,A09,2,G,G
55,0,0.7233796296296297,Riemann,0,A09,2,G,S
56,0,0.759581881533101,Riemann,0,A09,2,G,mix
57,0,0.81328125,Riemann,1,A09,2,G,G
58,0,0.8421875000000001,Riemann,1,A09,2,G,S
59,0,0.809116809116809,Riemann,1,A09,2,G,mix
60,0,0.91328125,Riemann,2,A09,2,G,G
61,0,0.7080213903743315,Riemann,2,A09,2,G,S
62,0,0.7489711934156379,Riemann,2,A09,2,G,mix
63,0,0.87109375,Riemann,3,A09,2,G,G
64,0,0.7621399176954733,Riemann,3,A09,2,G,S
65,0,0.8105263157894737,Riemann,3,A09,2,G,mix
66,0,0.8390625,Riemann,4,A09,2,G,G
67,0,0.8164967562557923,Riemann,4,A09,2,G,S
68,0,0.85546875,Riemann,4,A09,2,G,mix
69,0,0.8267405063291139,Riemann,5,A09,2,G,G
70,0,0.7398190045248869,Riemann,5,A09,2,G,S
71,0,0.8424015009380863,Riemann,5,A09,2,G,mix
72,0,0.7511627906976744,Riemann,0,A09,2,S,G
73,0,0.9859375,Riemann,0,A09,2,S,S
74,0,0.9080459770114943,Riemann,0,A09,2,S,mix
75,0,0.7867187499999999,Riemann,1,A09,2,S,G
76,0,0.93359375,Riemann,1,A09,2,S,S
77,0,0.8397435897435896,Riemann,1,A09,2,S,mix
78,0,0.6976917349218168,Riemann,2,A09,2,S,G
79,0,0.95234375,Riemann,2,A09,2,S,S
80,0,0.8898395721925134,Riemann,2,A09,2,S,mix
81,0,0.7498412698412699,Riemann,3,A09,2,S,G
82,0,0.96015625,Riemann,3,A09,2,S,S
83,0,0.8998771498771498,Riemann,3,A09,2,S,mix
84,0,0.7088607594936709,Riemann,4,A09,2,S,G
85,0,0.94609375,Riemann,4,A09,2,S,S
86,0,0.9381578947368421,Riemann,4,A09,2,S,mix
87,0,0.665,Riemann,5,A09,2,S,G
88,0,0.9636075949367089,Riemann,5,A09,2,S,S
89,0,0.8512658227848101,Riemann,5,A09,2,S,mix
90,0,0.91875,Riemann,0,A09,2,mix,G
91,0,0.9486062717770035,Riemann,0,A09,2,mix,S
92,0,0.8546875,Riemann,0,A09,2,mix,mix
93,0,0.7177464788732395,Riemann,1,A09,2,mix,G
94,0,0.9769173492181682,Riemann,1,A09,2,mix,S
95,0,0.81484375,Riemann,1,A09,2,mix,mix
96,0,0.9262032085561498,Riemann,2,A09,2,mix,G
97,0,0.9276315789473684,Riemann,2,A09,2,mix,S
98,0,0.915625,Riemann,2,A09,2,mix,mix
99,0,0.76953125,Riemann,3,A09,2,mix,G
100,0,0.9724497393894267,Riemann,3,A09,2,mix,S
