,accuracy,n_trials,subject,model,fold,session,condition
0,0.4,1,A05,XDAWNCov-TS-LogReg,0,1,S
0,0.4,2,A05,XDAWNCov-TS-LogReg,0,1,S
0,0.6,3,A05,XDAWNCov-TS-LogReg,0,1,S
0,1.0,4,A05,XDAWNCov-TS-LogReg,0,1,S
0,1.0,5,A05,XDAWNCov-TS-LogReg,0,1,S
0,1.0,6,A05,XDAWNCov-TS-LogReg,0,1,S
0,1.0,7,A05,XDAWNCov-TS-LogReg,0,1,S
0,1.0,8,A05,XDAWNCov-TS-LogReg,0,1,S
0,1.0,1,A05,XDAWNCov-TS-LogReg,1,1,S
0,0.6,2,A05,XDAWNCov-TS-LogReg,1,1,S
0,0.8,3,A05,XDAWNCov-TS-LogReg,1,1,S
0,1.0,4,A05,XDAWNCov-TS-LogReg,1,1,S
0,1.0,5,A05,XDAWNCov-TS-LogReg,1,1,S
0,1.0,6,A05,XDAWNCov-TS-LogReg,1,1,S
0,1.0,7,A05,XDAWNCov-TS-LogReg,1,1,S
0,1.0,8,A05,XDAWNCov-TS-LogReg,1,1,S
0,0.4,1,A05,XDAWNCov-TS-LogReg,2,1,S
0,0.6,2,A05,XDAWNCov-TS-LogReg,2,1,S
0,0.6,3,A05,XDAWNCov-TS-LogReg,2,1,S
0,0.8,4,A05,XDAWNCov-TS-LogReg,2,1,S
0,1.0,5,A05,XDAWNCov-TS-LogReg,2,1,S
0,1.0,6,A05,XDAWNCov-TS-LogReg,2,1,S
0,1.0,7,A05,XDAWNCov-TS-LogReg,2,1,S
0,1.0,8,A05,XDAWNCov-TS-LogReg,2,1,S
0,0.6,1,A05,XDAWNCov-TS-LogReg,3,1,S
0,0.8,2,A05,XDAWNCov-TS-LogReg,3,1,S
0,1.0,3,A05,XDAWNCov-TS-LogReg,3,1,S
0,1.0,4,A05,XDAWNCov-TS-LogReg,3,1,S
0,1.0,5,A05,XDAWNCov-TS-LogReg,3,1,S
0,1.0,6,A05,XDAWNCov-TS-LogReg,3,1,S
0,1.0,7,A05,XDAWNCov-TS-LogReg,3,1,S
0,1.0,8,A05,XDAWNCov-TS-LogReg,3,1,S
0,0.4,1,A05,XDAWNCov-TS-LogReg,4,1,S
0,0.6,2,A05,XDAWNCov-TS-LogReg,4,1,S
0,1.0,3,A05,XDAWNCov-TS-LogReg,4,1,S
0,1.0,4,A05,XDAWNCov-TS-LogReg,4,1,S
0,1.0,5,A05,XDAWNCov-TS-LogReg,4,1,S
0,1.0,6,A05,XDAWNCov-TS-LogReg,4,1,S
0,1.0,7,A05,XDAWNCov-TS-LogReg,4,1,S
0,1.0,8,A05,XDAWNCov-TS-LogReg,4,1,S
0,0.6,1,A05,XDAWNCov-TS-LogReg,5,1,S
0,0.8,2,A05,XDAWNCov-TS-LogReg,5,1,S
0,1.0,3,A05,XDAWNCov-TS-LogReg,5,1,S
0,1.0,4,A05,XDAWNCov-TS-LogReg,5,1,S
0,1.0,5,A05,XDAWNCov-TS-LogReg,5,1,S
0,1.0,6,A05,XDAWNCov-TS-LogReg,5,1,S
0,1.0,7,A05,XDAWNCov-TS-LogReg,5,1,S
0,1.0,8,A05,XDAWNCov-TS-LogReg,5,1,S
0,0.4,1,A05,ERPCov-TS-LogReg,0,1,S
0,0.6,2,A05,ERPCov-TS-LogReg,0,1,S
0,1.0,3,A05,ERPCov-TS-LogReg,0,1,S
0,1.0,4,A05,ERPCov-TS-LogReg,0,1,S
0,1.0,5,A05,ERPCov-TS-LogReg,0,1,S
0,1.0,6,A05,ERPCov-TS-LogReg,0,1,S
0,1.0,7,A05,ERPCov-TS-LogReg,0,1,S
0,1.0,8,A05,ERPCov-TS-LogReg,0,1,S
0,0.4,1,A05,ERPCov-TS-LogReg,1,1,S
0,0.6,2,A05,ERPCov-TS-LogReg,1,1,S
0,1.0,3,A05,ERPCov-TS-LogReg,1,1,S
0,1.0,4,A05,ERPCov-TS-LogReg,1,1,S
0,1.0,5,A05,ERPCov-TS-LogReg,1,1,S
0,1.0,6,A05,ERPCov-TS-LogReg,1,1,S
0,1.0,7,A05,ERPCov-TS-LogReg,1,1,S
0,1.0,8,A05,ERPCov-TS-LogReg,1,1,S
0,0.4,1,A05,ERPCov-TS-LogReg,2,1,S
0,0.8,2,A05,ERPCov-TS-LogReg,2,1,S
0,1.0,3,A05,ERPCov-TS-LogReg,2,1,S
0,0.8,4,A05,ERPCov-TS-LogReg,2,1,S
0,1.0,5,A05,ERPCov-TS-LogReg,2,1,S
0,1.0,6,A05,ERPCov-TS-LogReg,2,1,S
0,1.0,7,A05,ERPCov-TS-LogReg,2,1,S
0,0.8,8,A05,ERPCov-TS-LogReg,2,1,S
0,0.6,1,A05,ERPCov-TS-LogReg,3,1,S
0,0.8,2,A05,ERPCov-TS-LogReg,3,1,S
0,1.0,3,A05,ERPCov-TS-LogReg,3,1,S
0,1.0,4,A05,ERPCov-TS-LogReg,3,1,S
0,1.0,5,A05,ERPCov-TS-LogReg,3,1,S
0,1.0,6,A05,ERPCov-TS-LogReg,3,1,S
0,1.0,7,A05,ERPCov-TS-LogReg,3,1,S
0,1.0,8,A05,ERPCov-TS-LogReg,3,1,S
0,0.4,1,A05,ERPCov-TS-LogReg,4,1,S
0,0.8,2,A05,ERPCov-TS-LogReg,4,1,S
0,0.8,3,A05,ERPCov-TS-LogReg,4,1,S
0,1.0,4,A05,ERPCov-TS-LogReg,4,1,S
0,1.0,5,A05,ERPCov-TS-LogReg,4,1,S
0,1.0,6,A05,ERPCov-TS-LogReg,4,1,S
