,index,roc_auc,model,fold,subject,session,train_cond,test_cond
0,0,0.9078124999999999,Riemann,0,A08,1,S,S
1,0,0.67109375,Riemann,0,A08,1,S,G
2,0,0.8133903133903134,Riemann,0,A08,1,S,mix
3,0,0.87265625,Riemann,1,A08,1,S,S
4,0,0.6453125000000001,Riemann,1,A08,1,S,G
5,0,0.877366255144033,Riemann,1,A08,1,S,mix
6,0,0.896875,Riemann,2,A08,1,S,S
7,0,0.5992187499999999,Riemann,2,A08,1,S,G
8,0,0.7717105263157895,Riemann,2,A08,1,S,mix
9,0,0.7828125,Riemann,3,A08,1,S,S
10,0,0.6859375,Riemann,3,A08,1,S,G
11,0,0.7151567944250871,Riemann,3,A08,1,S,mix
12,0,0.8828125,Riemann,4,A08,1,S,S
13,0,0.74375,Riemann,4,A08,1,S,G
14,0,0.7668650793650794,Riemann,4,A08,1,S,mix
15,0,0.8671875,Riemann,5,A08,1,S,S
16,0,0.75,Riemann,5,A08,1,S,G
17,0,0.6695156695156695,Riemann,5,A08,1,S,mix
18,0,0.67421875,Riemann,0,A08,1,G,S
19,0,0.74921875,Riemann,0,A08,1,G,G
20,0,0.7757812500000001,Riemann,0,A08,1,G,mix
21,0,0.6984375,Riemann,1,A08,1,G,S
22,0,0.77265625,Riemann,1,A08,1,G,G
23,0,0.7797619047619048,Riemann,1,A08,1,G,mix
24,0,0.6703125,Riemann,2,A08,1,G,S
25,0,0.7023437499999999,Riemann,2,A08,1,G,G
26,0,0.7822299651567944,Riemann,2,A08,1,G,mix
27,0,0.69296875,Riemann,3,A08,1,G,S
28,0,0.82578125,Riemann,3,A08,1,G,G
29,0,0.794078947368421,Riemann,3,A08,1,G,mix
30,0,0.66484375,Riemann,4,A08,1,G,S
31,0,0.80625,Riemann,4,A08,1,G,G
32,0,0.7578347578347578,Riemann,4,A08,1,G,mix
33,0,0.72578125,Riemann,5,A08,1,G,S
34,0,0.8914062500000001,Riemann,5,A08,1,G,G
35,0,0.7915115413253908,Riemann,5,A08,1,G,mix
36,0,0.7278869778869779,Riemann,0,A08,1,mix,S
37,0,0.8445945945945945,Riemann,0,A08,1,mix,G
38,0,0.63828125,Riemann,0,A08,1,mix,mix
39,0,0.7222635889798957,Riemann,1,A08,1,mix,S
40,0,0.7706626954579301,Riemann,1,A08,1,mix,G
41,0,0.86953125,Riemann,1,A08,1,mix,mix
42,0,0.751440329218107,Riemann,2,A08,1,mix,S
43,0,0.8518518518518519,Riemann,2,A08,1,mix,G
44,0,0.6953125,Riemann,2,A08,1,mix,mix
