,index,roc_auc,model,fold,subject,session,train_cond,test_cond
0,0,0.9375,XDAWN+Rg,0,A04,1,S,S
1,0,0.6795886075949368,XDAWN+Rg,0,A04,1,S,G
2,0,0.7072310405643738,XDAWN+Rg,0,A04,1,S,mix
3,0,0.9889240506329114,XDAWN+Rg,1,A04,1,S,S
4,0,0.7349683544303798,XDAWN+Rg,1,A04,1,S,G
5,0,0.8488924050632911,XDAWN+Rg,1,A04,1,S,mix
6,0,0.9454113924050632,XDAWN+Rg,2,A04,1,S,S
7,0,0.774,XDAWN+Rg,2,A04,1,S,G
8,0,0.9074074074074074,XDAWN+Rg,2,A04,1,S,mix
9,0,0.9509493670886077,XDAWN+Rg,3,A04,1,S,S
10,0,0.7692307692307693,XDAWN+Rg,3,A04,1,S,G
11,0,0.8116343490304709,XDAWN+Rg,3,A04,1,S,mix
12,0,0.9462025316455696,XDAWN+Rg,4,A04,1,S,S
13,0,0.6990950226244343,XDAWN+Rg,4,A04,1,S,G
14,0,0.9216666666666666,XDAWN+Rg,4,A04,1,S,mix
15,0,0.9493670886075949,XDAWN+Rg,5,A04,1,S,S
16,0,0.4409005628517824,XDAWN+Rg,5,A04,1,S,G
17,0,0.8614958448753463,XDAWN+Rg,5,A04,1,S,mix
18,0,0.8132911392405063,XDAWN+Rg,0,A04,1,G,S
19,0,0.6308333333333334,XDAWN+Rg,0,A04,1,G,G
20,0,0.7943213296398891,XDAWN+Rg,0,A04,1,G,mix
21,0,0.7389770723104057,XDAWN+Rg,1,A04,1,G,S
22,0,0.8465189873417721,XDAWN+Rg,1,A04,1,G,G
23,0,0.8508333333333333,XDAWN+Rg,1,A04,1,G,mix
24,0,0.6591251885369532,XDAWN+Rg,2,A04,1,G,S
25,0,0.7318037974683544,XDAWN+Rg,2,A04,1,G,G
26,0,0.5149911816578483,XDAWN+Rg,2,A04,1,G,mix
27,0,0.740506329113924,XDAWN+Rg,3,A04,1,G,S
28,0,0.754746835443038,XDAWN+Rg,3,A04,1,G,G
29,0,0.7283333333333333,XDAWN+Rg,3,A04,1,G,mix
30,0,0.7530864197530864,XDAWN+Rg,4,A04,1,G,S
31,0,0.5838607594936709,XDAWN+Rg,4,A04,1,G,G
32,0,0.8658333333333333,XDAWN+Rg,4,A04,1,G,mix
33,0,0.6695526695526696,XDAWN+Rg,5,A04,1,G,S
34,0,0.7420886075949367,XDAWN+Rg,5,A04,1,G,G
35,0,0.742382271468144,XDAWN+Rg,5,A04,1,G,mix
36,0,0.9567901234567902,XDAWN+Rg,0,A04,1,mix,S
37,0,0.8491704374057314,XDAWN+Rg,0,A04,1,mix,G
38,0,0.8924050632911392,XDAWN+Rg,0,A04,1,mix,mix
39,0,0.9147812971342384,XDAWN+Rg,1,A04,1,mix,S
40,0,0.7416225749559083,XDAWN+Rg,1,A04,1,mix,G
41,0,0.7191455696202532,XDAWN+Rg,1,A04,1,mix,mix
42,0,0.9746835443037974,XDAWN+Rg,2,A04,1,mix,S
43,0,0.5933734939759037,XDAWN+Rg,2,A04,1,mix,G
44,0,0.6732594936708861,XDAWN+Rg,2,A04,1,mix,mix
45,0,0.960843373493976,XDAWN+Rg,3,A04,1,mix,S
46,0,0.8008333333333334,XDAWN+Rg,3,A04,1,mix,G
