,index,roc_auc,model,fold,subject,session,train_cond,test_cond
0,0,0.9914529914529915,XDAWN+TS+LDA,0,A10,1,S,S
1,0,0.49589041095890407,XDAWN+TS+LDA,0,A10,1,S,G
2,0,0.6307692307692307,XDAWN+TS+LDA,0,A10,1,S,mix
3,0,0.9452991452991453,XDAWN+TS+LDA,1,A10,1,S,S
4,0,0.614448051948052,XDAWN+TS+LDA,1,A10,1,S,G
5,0,0.7917956656346749,XDAWN+TS+LDA,1,A10,1,S,mix
6,0,0.9923076923076923,XDAWN+TS+LDA,2,A10,1,S,S
7,0,0.4873417721518987,XDAWN+TS+LDA,2,A10,1,S,G
8,0,0.7825077399380805,XDAWN+TS+LDA,2,A10,1,S,mix
9,0,0.9813311688311689,XDAWN+TS+LDA,3,A10,1,S,S
10,0,0.7417695473251029,XDAWN+TS+LDA,3,A10,1,S,G
11,0,0.8423076923076923,XDAWN+TS+LDA,3,A10,1,S,mix
12,0,0.976461038961039,XDAWN+TS+LDA,4,A10,1,S,S
13,0,0.5786324786324787,XDAWN+TS+LDA,4,A10,1,S,G
14,0,0.6444444444444444,XDAWN+TS+LDA,4,A10,1,S,mix
15,0,0.9512987012987013,XDAWN+TS+LDA,5,A10,1,S,S
16,0,0.4153846153846154,XDAWN+TS+LDA,5,A10,1,S,G
17,0,0.7213675213675212,XDAWN+TS+LDA,5,A10,1,S,mix
18,0,0.5048076923076923,XDAWN+TS+LDA,0,A10,1,G,S
19,0,0.7598290598290598,XDAWN+TS+LDA,0,A10,1,G,G
20,0,0.7607407407407408,XDAWN+TS+LDA,0,A10,1,G,mix
21,0,0.6018518518518519,XDAWN+TS+LDA,1,A10,1,G,S
22,0,0.864102564102564,XDAWN+TS+LDA,1,A10,1,G,G
23,0,0.7383592017738358,XDAWN+TS+LDA,1,A10,1,G,mix
24,0,0.5194805194805194,XDAWN+TS+LDA,2,A10,1,G,S
25,0,0.8632478632478632,XDAWN+TS+LDA,2,A10,1,G,G
26,0,0.8081481481481481,XDAWN+TS+LDA,2,A10,1,G,mix
27,0,0.6450924608819345,XDAWN+TS+LDA,3,A10,1,G,S
28,0,0.7897435897435897,XDAWN+TS+LDA,3,A10,1,G,G
29,0,0.8839285714285714,XDAWN+TS+LDA,3,A10,1,G,mix
30,0,0.6162393162393163,XDAWN+TS+LDA,4,A10,1,G,S
31,0,0.8336038961038961,XDAWN+TS+LDA,4,A10,1,G,G
32,0,0.7556818181818181,XDAWN+TS+LDA,4,A10,1,G,mix
33,0,0.6562962962962964,XDAWN+TS+LDA,5,A10,1,G,S
34,0,0.8060064935064936,XDAWN+TS+LDA,5,A10,1,G,G
35,0,0.8758116883116883,XDAWN+TS+LDA,5,A10,1,G,mix
36,0,0.8841229193341869,XDAWN+TS+LDA,0,A10,1,mix,S
37,0,0.851111111111111,XDAWN+TS+LDA,0,A10,1,mix,G
38,0,0.9324786324786325,XDAWN+TS+LDA,0,A10,1,mix,mix
39,0,0.7461538461538462,XDAWN+TS+LDA,1,A10,1,mix,S
40,0,0.8189300411522633,XDAWN+TS+LDA,1,A10,1,mix,G
41,0,0.8287337662337663,XDAWN+TS+LDA,1,A10,1,mix,mix
42,0,0.9626506024096386,XDAWN+TS+LDA,2,A10,1,mix,S
43,0,0.9164086687306502,XDAWN+TS+LDA,2,A10,1,mix,G
