,index,roc_auc,model,fold,subject,session,train_cond,test_cond
0,0,0.7803418803418803,XDAWN+TS+SVM,0,A10,1,G,G
1,0,0.5811965811965812,XDAWN+TS+SVM,0,A10,1,G,S
2,0,0.8372513562386981,XDAWN+TS+SVM,0,A10,1,G,mix
3,0,0.8846153846153846,XDAWN+TS+SVM,1,A10,1,G,G
4,0,0.6746088193456613,XDAWN+TS+SVM,1,A10,1,G,S
5,0,0.835042735042735,XDAWN+TS+SVM,1,A10,1,G,mix
6,0,0.858974358974359,XDAWN+TS+SVM,2,A10,1,G,G
7,0,0.6634615384615384,XDAWN+TS+SVM,2,A10,1,G,S
8,0,0.7786377708978328,XDAWN+TS+SVM,2,A10,1,G,mix
9,0,0.8914529914529914,XDAWN+TS+SVM,3,A10,1,G,G
10,0,0.6743589743589744,XDAWN+TS+SVM,3,A10,1,G,S
11,0,0.7784810126582278,XDAWN+TS+SVM,3,A10,1,G,mix
12,0,0.8214285714285713,XDAWN+TS+SVM,4,A10,1,G,G
13,0,0.6017094017094017,XDAWN+TS+SVM,4,A10,1,G,S
14,0,0.7851851851851851,XDAWN+TS+SVM,4,A10,1,G,mix
15,0,0.9707792207792209,XDAWN+TS+SVM,5,A10,1,G,G
16,0,0.5064935064935066,XDAWN+TS+SVM,5,A10,1,G,S
17,0,0.9264705882352942,XDAWN+TS+SVM,5,A10,1,G,mix
18,0,0.5,XDAWN+TS+SVM,0,A10,1,S,G
19,0,0.9820512820512821,XDAWN+TS+SVM,0,A10,1,S,S
20,0,0.8471971066907775,XDAWN+TS+SVM,0,A10,1,S,mix
21,0,0.6246130030959751,XDAWN+TS+SVM,1,A10,1,S,G
22,0,0.9871794871794872,XDAWN+TS+SVM,1,A10,1,S,S
23,0,0.8547945205479452,XDAWN+TS+SVM,1,A10,1,S,mix
24,0,0.5961538461538461,XDAWN+TS+SVM,2,A10,1,S,G
25,0,0.9786324786324786,XDAWN+TS+SVM,2,A10,1,S,S
26,0,0.8495726495726496,XDAWN+TS+SVM,2,A10,1,S,mix
27,0,0.4886831275720165,XDAWN+TS+SVM,3,A10,1,S,G
28,0,0.987012987012987,XDAWN+TS+SVM,3,A10,1,S,S
29,0,0.7504273504273504,XDAWN+TS+SVM,3,A10,1,S,mix
30,0,0.6145299145299146,XDAWN+TS+SVM,4,A10,1,S,G
31,0,0.9943181818181818,XDAWN+TS+SVM,4,A10,1,S,S
32,0,0.6865384615384615,XDAWN+TS+SVM,4,A10,1,S,mix
33,0,0.625,XDAWN+TS+SVM,5,A10,1,S,G
34,0,0.9935064935064934,XDAWN+TS+SVM,5,A10,1,S,S
35,0,0.722962962962963,XDAWN+TS+SVM,5,A10,1,S,mix
36,0,0.9073529411764706,XDAWN+TS+SVM,0,A10,1,mix,G
37,0,0.9917695473251028,XDAWN+TS+SVM,0,A10,1,mix,S
38,0,0.9760683760683762,XDAWN+TS+SVM,0,A10,1,mix,mix
