,accuracy,n_trials,subject,condition,model,fold,session
0,0.0,1,A14,overt,CBLE,0,1
0,1.0,2,A14,overt,CBLE,0,1
0,1.0,3,A14,overt,CBLE,0,1
0,1.0,4,A14,overt,CBLE,0,1
0,1.0,5,A14,overt,CBLE,0,1
0,1.0,6,A14,overt,CBLE,0,1
0,1.0,7,A14,overt,CBLE,0,1
0,1.0,8,A14,overt,CBLE,0,1
0,1.0,9,A14,overt,CBLE,0,1
0,1.0,10,A14,overt,CBLE,0,1
0,1.0,1,A14,overt,CBLE,1,1
0,1.0,2,A14,overt,CBLE,1,1
0,1.0,3,A14,overt,CBLE,1,1
0,1.0,4,A14,overt,CBLE,1,1
0,1.0,5,A14,overt,CBLE,1,1
0,1.0,6,A14,overt,CBLE,1,1
0,1.0,7,A14,overt,CBLE,1,1
0,1.0,8,A14,overt,CBLE,1,1
0,1.0,9,A14,overt,CBLE,1,1
0,1.0,10,A14,overt,CBLE,1,1
0,1.0,1,A14,overt,CBLE,2,1
0,1.0,2,A14,overt,CBLE,2,1
0,1.0,3,A14,overt,CBLE,2,1
0,1.0,4,A14,overt,CBLE,2,1
0,1.0,5,A14,overt,CBLE,2,1
0,1.0,6,A14,overt,CBLE,2,1
0,1.0,7,A14,overt,CBLE,2,1
0,1.0,8,A14,overt,CBLE,2,1
0,1.0,9,A14,overt,CBLE,2,1
0,1.0,10,A14,overt,CBLE,2,1
0,1.0,1,A14,overt,CBLE,3,1
0,1.0,2,A14,overt,CBLE,3,1
0,1.0,3,A14,overt,CBLE,3,1
0,1.0,4,A14,overt,CBLE,3,1
0,1.0,5,A14,overt,CBLE,3,1
0,1.0,6,A14,overt,CBLE,3,1
0,1.0,7,A14,overt,CBLE,3,1
0,1.0,8,A14,overt,CBLE,3,1
0,1.0,9,A14,overt,CBLE,3,1
0,1.0,10,A14,overt,CBLE,3,1
0,0.0,1,A14,overt,CBLE,4,1
0,1.0,2,A14,overt,CBLE,4,1
0,1.0,3,A14,overt,CBLE,4,1
0,1.0,4,A14,overt,CBLE,4,1
