,index,roc_auc,model,fold,subject,train_cond,test_cond
0,0,0.944,CBLE,0,A13,overt,overt
1,0,0.8214285714285715,CBLE,0,A13,overt,covert
2,0,0.718944099378882,CBLE,0,A13,overt,split/1
3,0,0.6857638888888888,CBLE,0,A13,overt,split/2
4,0,0.7816711590296496,CBLE,0,A13,overt,split/3
5,0,0.8533653846153846,CBLE,0,A13,overt,mix
6,0,0.866,CBLE,1,A13,overt,overt
7,0,0.7191358024691358,CBLE,1,A13,overt,covert
8,0,0.79,CBLE,1,A13,overt,split/1
9,0,0.8149038461538461,CBLE,1,A13,overt,split/2
10,0,0.6371527777777778,CBLE,1,A13,overt,split/3
11,0,0.6880000000000001,CBLE,1,A13,overt,mix
12,0,0.998,CBLE,2,A13,overt,overt
13,0,0.8181818181818181,CBLE,2,A13,overt,covert
14,0,0.6988636363636364,CBLE,2,A13,overt,split/1
15,0,0.644,CBLE,2,A13,overt,split/2
16,0,0.7866666666666666,CBLE,2,A13,overt,split/3
17,0,0.7447916666666667,CBLE,2,A13,overt,mix
18,0,0.85,CBLE,3,A13,overt,overt
19,0,0.7307692307692307,CBLE,3,A13,overt,covert
20,0,0.596,CBLE,3,A13,overt,split/1
21,0,0.6601307189542484,CBLE,3,A13,overt,split/2
22,0,0.5956873315363882,CBLE,3,A13,overt,split/3
23,0,0.8552875695732839,CBLE,3,A13,overt,mix
24,0,0.964,CBLE,4,A13,overt,overt
25,0,0.7940630797773656,CBLE,4,A13,overt,covert
26,0,0.5030864197530864,CBLE,4,A13,overt,split/1
27,0,0.698,CBLE,4,A13,overt,split/2
28,0,0.712430426716141,CBLE,4,A13,overt,split/3
29,0,0.7884615384615384,CBLE,4,A13,overt,mix
30,0,0.956,CBLE,5,A13,overt,overt
31,0,0.8700000000000001,CBLE,5,A13,overt,covert
32,0,0.38839285714285715,CBLE,5,A13,overt,split/1
33,0,0.49536178107606677,CBLE,5,A13,overt,split/2
34,0,0.6778846153846154,CBLE,5,A13,overt,split/3
35,0,0.6514423076923077,CBLE,5,A13,overt,mix
36,0,0.9199999999999999,wCBLE,0,A13,overt,overt
37,0,0.9165302782324058,wCBLE,0,A13,overt,covert
38,0,0.6339869281045751,wCBLE,0,A13,overt,split/1
39,0,0.768,wCBLE,0,A13,overt,split/2
40,0,0.876,wCBLE,0,A13,overt,split/3
41,0,0.7725694444444444,wCBLE,0,A13,overt,mix
42,0,0.9319999999999999,wCBLE,1,A13,overt,overt
43,0,0.916,wCBLE,1,A13,overt,covert
44,0,0.8839999999999999,wCBLE,1,A13,overt,split/1
45,0,0.6466346153846154,wCBLE,1,A13,overt,split/2
46,0,0.6660482374768089,wCBLE,1,A13,overt,split/3
47,0,0.701388888888889,wCBLE,1,A13,overt,mix
48,0,0.9339999999999999,wCBLE,2,A13,overt,overt
49,0,0.8300653594771241,wCBLE,2,A13,overt,covert
50,0,0.584,wCBLE,2,A13,overt,split/1
51,0,0.7407407407407407,wCBLE,2,A13,overt,split/2
52,0,0.42483660130718953,wCBLE,2,A13,overt,split/3
53,0,0.808,wCBLE,2,A13,overt,mix
54,0,0.944,wCBLE,3,A13,overt,overt
55,0,0.7427884615384616,wCBLE,3,A13,overt,covert
56,0,0.656,wCBLE,3,A13,overt,split/1
57,0,0.802962962962963,wCBLE,3,A13,overt,split/2
58,0,0.8608534322820037,wCBLE,3,A13,overt,split/3
59,0,0.7745454545454545,wCBLE,3,A13,overt,mix
60,0,0.9359999999999999,wCBLE,4,A13,overt,overt
61,0,0.6961805555555556,wCBLE,4,A13,overt,covert
62,0,0.7792207792207791,wCBLE,4,A13,overt,split/1
63,0,0.8490566037735849,wCBLE,4,A13,overt,split/2
64,0,0.7581699346405228,wCBLE,4,A13,overt,split/3
65,0,0.9411764705882353,wCBLE,4,A13,overt,mix
66,0,0.974,wCBLE,5,A13,overt,overt
67,0,0.8076923076923077,wCBLE,5,A13,overt,covert
68,0,0.8679999999999999,wCBLE,5,A13,overt,split/1
69,0,0.6196660482374767,wCBLE,5,A13,overt,split/2
70,0,0.842,wCBLE,5,A13,overt,split/3
71,0,0.7864923747276689,wCBLE,5,A13,overt,mix
72,0,0.988,tLDA,0,A13,overt,overt
73,0,0.8500000000000001,tLDA,0,A13,overt,covert
74,0,0.75,tLDA,0,A13,overt,split/1
75,0,0.7115384615384615,tLDA,0,A13,overt,split/2
76,0,0.6753472222222222,tLDA,0,A13,overt,split/3
77,0,0.7675941080196399,tLDA,0,A13,overt,mix
78,0,0.8260000000000001,tLDA,1,A13,overt,overt
79,0,0.7169811320754716,tLDA,1,A13,overt,covert
80,0,0.7222222222222222,tLDA,1,A13,overt,split/1
81,0,0.6428571428571428,tLDA,1,A13,overt,split/2
82,0,0.549165120593692,tLDA,1,A13,overt,split/3
83,0,0.7581699346405228,tLDA,1,A13,overt,mix
84,0,0.9760000000000001,tLDA,2,A13,overt,overt
85,0,0.8583877995642702,tLDA,2,A13,overt,covert
86,0,0.5648148148148148,tLDA,2,A13,overt,split/1
87,0,0.5022222222222222,tLDA,2,A13,overt,split/2
88,0,0.79,tLDA,2,A13,overt,split/3
89,0,0.7277628032345014,tLDA,2,A13,overt,mix
90,0,0.942,tLDA,3,A13,overt,overt
91,0,0.8014842300556586,tLDA,3,A13,overt,covert
92,0,0.7204861111111112,tLDA,3,A13,overt,split/1
93,0,0.7167755991285403,tLDA,3,A13,overt,split/2
94,0,0.5816993464052287,tLDA,3,A13,overt,split/3
95,0,0.7427884615384616,tLDA,3,A13,overt,mix
96,0,0.9700000000000001,tLDA,4,A13,overt,overt
97,0,0.7925925925925926,tLDA,4,A13,overt,covert
98,0,0.6710239651416122,tLDA,4,A13,overt,split/1
99,0,0.6013071895424836,tLDA,4,A13,overt,split/2
100,0,0.7080610021786492,tLDA,4,A13,overt,split/3
101,0,0.6846361185983828,tLDA,4,A13,overt,mix
102,0,0.906,tLDA,5,A13,overt,overt
103,0,0.8942307692307692,tLDA,5,A13,overt,covert
104,0,0.4501347708894879,tLDA,5,A13,overt,split/1
105,0,0.6763636363636364,tLDA,5,A13,overt,split/2
106,0,0.7647058823529411,tLDA,5,A13,overt,split/3
107,0,0.6726677577741407,tLDA,5,A13,overt,mix
108,0,0.7837037037037037,CBLE,0,A13,covert,overt
109,0,0.7240000000000001,CBLE,0,A13,covert,covert
110,0,0.8274582560296847,CBLE,0,A13,covert,split/1
111,0,0.691358024691358,CBLE,0,A13,covert,split/2
112,0,0.9595687331536389,CBLE,0,A13,covert,split/3
113,0,0.8082788671023965,CBLE,0,A13,covert,mix
114,0,0.8921832884097036,CBLE,1,A13,covert,overt
115,0,0.638,CBLE,1,A13,covert,covert
116,0,0.8954248366013071,CBLE,1,A13,covert,split/1
117,0,0.6693944353518821,CBLE,1,A13,covert,split/2
118,0,0.934640522875817,CBLE,1,A13,covert,split/3
119,0,0.9326923076923077,CBLE,1,A13,covert,mix
120,0,0.8126159554730983,CBLE,2,A13,covert,overt
121,0,0.894,CBLE,2,A13,covert,covert
122,0,0.720486111111111,CBLE,2,A13,covert,split/1
123,0,0.7439703153988868,CBLE,2,A13,covert,split/2
124,0,0.7743055555555557,CBLE,2,A13,covert,split/3
125,0,0.88,CBLE,2,A13,covert,mix
126,0,0.8497217068645639,CBLE,3,A13,covert,overt
127,0,0.6940000000000002,CBLE,3,A13,covert,covert
128,0,0.6920000000000001,CBLE,3,A13,covert,split/1
129,0,0.8059999999999999,CBLE,3,A13,covert,split/2
130,0,0.7274305555555556,CBLE,3,A13,covert,split/3
131,0,0.9680000000000001,CBLE,3,A13,covert,mix
132,0,0.7091346153846154,CBLE,4,A13,covert,overt
133,0,0.8220000000000001,CBLE,4,A13,covert,covert
134,0,0.966,CBLE,4,A13,covert,split/1
135,0,0.7662337662337662,CBLE,4,A13,covert,split/2
136,0,0.8840970350404314,CBLE,4,A13,covert,split/3
137,0,0.8061002178649237,CBLE,4,A13,covert,mix
138,0,0.9110576923076924,CBLE,5,A13,covert,overt
139,0,0.792,CBLE,5,A13,covert,covert
140,0,0.8677884615384616,CBLE,5,A13,covert,split/1
141,0,0.7625272331154684,CBLE,5,A13,covert,split/2
142,0,0.8854337152209493,CBLE,5,A13,covert,split/3
