,event_name,target,non-target,distractor,gaze,cue,stim,condition,block,trial,score
304,target,0.0,,,3,0,0,split/3,4,1,15.07579880531008
305,non-target,,0.0,,3,0,4,split/3,4,1,-28.09357530754925
306,non-target,,0.0,,3,0,1,split/3,4,1,5.619675532205564
307,non-target,,0.0,,3,0,5,split/3,4,1,7.043153699086874
308,non-target,,0.0,,3,0,2,split/3,4,1,0.36517093482791907
309,non-target,,0.0,,3,0,1,split/3,4,2,-4.204610925531469
310,target,0.0,,,3,0,0,split/3,4,2,-2.242928440041208
311,non-target,,0.0,,3,0,2,split/3,4,2,-16.608936833410695
312,non-target,,0.0,,3,0,4,split/3,4,2,-8.405381732078803
313,non-target,,0.0,,3,0,1,split/3,4,3,-14.988564191053797
314,non-target,,0.0,,3,0,5,split/3,4,2,5.2463697105028455
315,target,0.0,,,3,0,0,split/3,4,3,16.7370905118947
316,non-target,,0.0,,3,0,5,split/3,4,3,-8.868638291186798
317,non-target,,0.0,,3,0,2,split/3,4,3,-4.020401743826661
318,non-target,,0.0,,3,0,3,split/3,4,1,-5.0645297516214764
319,non-target,,0.0,,3,0,2,split/3,4,4,-28.01033158914732
320,non-target,,0.0,,3,0,1,split/3,4,4,-17.823443052193966
321,non-target,,0.0,,3,0,4,split/3,4,3,-20.466327290179862
322,non-target,,0.0,,3,0,2,split/3,4,5,-10.13920375773947
323,non-target,,0.0,,3,0,3,split/3,4,2,-12.575293700934182
324,non-target,,0.0,,3,0,4,split/3,4,4,-25.299626669232083
325,non-target,,0.0,,3,0,2,split/3,4,6,-14.660163105139814
326,non-target,,0.0,,3,0,4,split/3,4,5,-27.845256182233577
327,non-target,,0.0,,3,0,2,split/3,4,7,-32.12068641969444
328,non-target,,0.0,,3,0,4,split/3,4,6,-19.602976432321555
329,target,0.0,,,3,0,0,split/3,4,4,6.888427002910211
330,non-target,,0.0,,3,0,1,split/3,4,5,-14.04208307425188
331,non-target,,0.0,,3,0,4,split/3,4,7,-14.405476750631266
332,non-target,,0.0,,3,0,2,split/3,4,8,-26.55750119980746
333,non-target,,0.0,,3,0,3,split/3,4,3,-13.315411146121757
334,non-target,,0.0,,3,0,5,split/3,4,4,-15.732512353513595
335,non-target,,0.0,,3,0,2,split/3,4,9,-21.672067154260755
336,target,0.0,,,3,0,0,split/3,4,5,4.146682303325646
337,non-target,,0.0,,3,0,3,split/3,4,4,-2.4516963894405492
338,non-target,,0.0,,3,0,5,split/3,4,5,-7.468455890080806
339,non-target,,0.0,,3,0,2,split/3,4,10,-13.635450965604216
340,non-target,,0.0,,3,0,1,split/3,4,6,-29.46369707428841
341,non-target,,0.0,,3,0,5,split/3,4,6,-17.180774749707446
342,non-target,,0.0,,3,0,1,split/3,4,7,-16.760807051249095
344,non-target,,0.0,,3,0,3,split/3,4,5,-7.123152763601143
345,non-target,,0.0,,3,0,5,split/3,4,7,-21.21097451006394
346,non-target,,0.0,,3,0,4,split/3,4,8,-8.447087251310105
347,non-target,,0.0,,3,0,1,split/3,4,8,-27.055013009439683
348,non-target,,0.0,,3,0,3,split/3,4,6,-4.905155275894957
349,non-target,,0.0,,3,0,1,split/3,4,9,-19.182784887234156
350,non-target,,0.0,,3,0,3,split/3,4,7,-14.716720456589568
351,non-target,,0.0,,3,0,4,split/3,4,9,-16.934696193384035
352,non-target,,0.0,,3,0,5,split/3,4,8,-9.81845552580108
353,target,0.0,,,3,0,0,split/3,4,6,2.951593845758433
354,non-target,,0.0,,3,0,1,split/3,4,10,-20.40578662708247
355,target,0.0,,,3,0,0,split/3,4,7,11.747964647910853
356,non-target,,0.0,,3,0,5,split/3,4,9,-28.365358677188574
357,non-target,,0.0,,3,0,3,split/3,4,8,-18.286864124184845
360,non-target,,0.0,,3,0,4,split/3,4,10,-10.922962022268774
361,target,0.0,,,3,0,0,split/3,4,8,12.975846253719036
363,target,0.0,,,3,0,0,split/3,4,9,12.210308843949806
366,target,0.0,,,3,0,0,split/3,4,10,-10.330813635384441
367,non-target,,0.0,,3,0,3,split/3,4,9,-20.33116200304287
369,non-target,,0.0,,3,0,5,split/3,4,10,-21.582033629090336
370,non-target,,0.0,,3,0,3,split/3,4,10,-9.447013316161103
