,index,roc_auc,model,fold,subject,train_cond,test_cond
0,0,0.934,CBLE,0,A13,overt,overt
1,0,0.7015250544662309,CBLE,0,A13,overt,covert
2,0,0.6442048517520216,CBLE,0,A13,overt,split/1
3,0,0.6972049689440993,CBLE,0,A13,overt,split/2
4,0,0.642361111111111,CBLE,0,A13,overt,split/3
5,0,0.8734567901234568,CBLE,0,A13,overt,mix
6,0,0.9600000000000001,CBLE,1,A13,overt,overt
7,0,0.8263888888888888,CBLE,1,A13,overt,covert
8,0,0.7340000000000001,CBLE,1,A13,overt,split/1
9,0,0.3562152133580705,CBLE,1,A13,overt,split/2
10,0,0.6215213358070502,CBLE,1,A13,overt,split/3
11,0,0.7485380116959064,CBLE,1,A13,overt,mix
12,0,0.944,CBLE,2,A13,overt,overt
13,0,0.8159722222222223,CBLE,2,A13,overt,covert
14,0,0.6512059369202227,CBLE,2,A13,overt,split/1
15,0,0.7329192546583851,CBLE,2,A13,overt,split/2
16,0,0.7427884615384616,CBLE,2,A13,overt,split/3
17,0,0.7217675941080197,CBLE,2,A13,overt,mix
18,0,0.892,CBLE,3,A13,overt,overt
19,0,0.8167115902964959,CBLE,3,A13,overt,covert
20,0,0.636,CBLE,3,A13,overt,split/1
21,0,0.7067901234567902,CBLE,3,A13,overt,split/2
22,0,0.8004807692307692,CBLE,3,A13,overt,split/3
23,0,0.7313664596273293,CBLE,3,A13,overt,mix
24,0,0.93,CBLE,4,A13,overt,overt
25,0,0.8961038961038961,CBLE,4,A13,overt,covert
26,0,0.7897574123989218,CBLE,4,A13,overt,split/1
27,0,0.4932614555256064,CBLE,4,A13,overt,split/2
28,0,0.686456400742115,CBLE,4,A13,overt,split/3
29,0,0.7142857142857143,CBLE,4,A13,overt,mix
30,0,0.962,CBLE,5,A13,overt,overt
31,0,0.8278867102396514,CBLE,5,A13,overt,covert
32,0,0.6118518518518519,CBLE,5,A13,overt,split/1
33,0,0.7668269230769231,CBLE,5,A13,overt,split/2
34,0,0.718,CBLE,5,A13,overt,split/3
35,0,0.756,CBLE,5,A13,overt,mix
36,0,0.956,wCBLE,0,A13,overt,overt
37,0,0.8680555555555556,wCBLE,0,A13,overt,covert
38,0,0.8197115384615384,wCBLE,0,A13,overt,split/1
39,0,0.6971677559912854,wCBLE,0,A13,overt,split/2
40,0,0.75,wCBLE,0,A13,overt,split/3
41,0,0.914,wCBLE,0,A13,overt,mix
42,0,0.9319999999999999,wCBLE,1,A13,overt,overt
43,0,0.9182692307692308,wCBLE,1,A13,overt,covert
44,0,0.7675941080196398,wCBLE,1,A13,overt,split/1
45,0,0.6470588235294117,wCBLE,1,A13,overt,split/2
46,0,0.79,wCBLE,1,A13,overt,split/3
47,0,0.7020000000000001,wCBLE,1,A13,overt,mix
48,0,0.954,wCBLE,2,A13,overt,overt
49,0,0.9639423076923077,wCBLE,2,A13,overt,covert
50,0,0.644880174291939,wCBLE,2,A13,overt,split/1
51,0,0.7282608695652175,wCBLE,2,A13,overt,split/2
52,0,0.7888707037643209,wCBLE,2,A13,overt,split/3
53,0,0.8070500927643784,wCBLE,2,A13,overt,mix
54,0,0.8340000000000001,wCBLE,3,A13,overt,overt
55,0,0.90625,wCBLE,3,A13,overt,covert
56,0,0.7058823529411765,wCBLE,3,A13,overt,split/1
57,0,0.7272727272727273,wCBLE,3,A13,overt,split/2
58,0,0.6436363636363637,wCBLE,3,A13,overt,split/3
59,0,0.7067307692307692,wCBLE,3,A13,overt,mix
60,0,0.9299999999999999,wCBLE,4,A13,overt,overt
61,0,0.7996894409937888,wCBLE,4,A13,overt,covert
62,0,0.636,wCBLE,4,A13,overt,split/1
63,0,0.7167755991285404,wCBLE,4,A13,overt,split/2
64,0,0.8256029684601114,wCBLE,4,A13,overt,split/3
65,0,0.734,wCBLE,4,A13,overt,mix
66,0,0.9440000000000001,wCBLE,5,A13,overt,overt
67,0,0.662,wCBLE,5,A13,overt,covert
68,0,0.8218923933209648,wCBLE,5,A13,overt,split/1
69,0,0.8028846153846154,wCBLE,5,A13,overt,split/2
70,0,0.8181818181818181,wCBLE,5,A13,overt,split/3
71,0,0.860576923076923,wCBLE,5,A13,overt,mix
72,0,0.9460000000000001,tLDA,0,A13,overt,overt
73,0,0.7326388888888888,tLDA,0,A13,overt,covert
74,0,0.7256944444444444,tLDA,0,A13,overt,split/1
75,0,0.489795918367347,tLDA,0,A13,overt,split/2
76,0,0.7421150278293136,tLDA,0,A13,overt,split/3
77,0,0.732,tLDA,0,A13,overt,mix
78,0,0.962,tLDA,1,A13,overt,overt
79,0,0.8240000000000001,tLDA,1,A13,overt,covert
80,0,0.5061728395061729,tLDA,1,A13,overt,split/1
81,0,0.6884531590413943,tLDA,1,A13,overt,split/2
82,0,0.7395833333333334,tLDA,1,A13,overt,split/3
83,0,0.8179012345679012,tLDA,1,A13,overt,mix
84,0,0.904,tLDA,2,A13,overt,overt
85,0,0.7532467532467533,tLDA,2,A13,overt,covert
86,0,0.7458256029684601,tLDA,2,A13,overt,split/1
87,0,0.8518518518518519,tLDA,2,A13,overt,split/2
88,0,0.7588126159554731,tLDA,2,A13,overt,split/3
89,0,0.7189542483660131,tLDA,2,A13,overt,mix
90,0,0.9380000000000001,tLDA,3,A13,overt,overt
91,0,0.796875,tLDA,3,A13,overt,covert
92,0,0.5054466230936818,tLDA,3,A13,overt,split/1
93,0,0.5547309833024119,tLDA,3,A13,overt,split/2
94,0,0.584,tLDA,3,A13,overt,split/3
95,0,0.7934027777777777,tLDA,3,A13,overt,mix
96,0,0.93,tLDA,4,A13,overt,overt
97,0,0.7438271604938272,tLDA,4,A13,overt,covert
98,0,0.5679214402618658,tLDA,4,A13,overt,split/1
99,0,0.7763975155279503,tLDA,4,A13,overt,split/2
100,0,0.556,tLDA,4,A13,overt,split/3
101,0,0.6037735849056604,tLDA,4,A13,overt,mix
102,0,0.994,tLDA,5,A13,overt,overt
103,0,0.9237472766884531,tLDA,5,A13,overt,covert
104,0,0.8257080610021786,tLDA,5,A13,overt,split/1
105,0,0.5751633986928104,tLDA,5,A13,overt,split/2
106,0,0.70679012345679,tLDA,5,A13,overt,split/3
107,0,0.7855973813420623,tLDA,5,A13,overt,mix
108,0,0.8840000000000001,Riemann,0,A13,overt,overt
109,0,0.8598382749326146,Riemann,0,A13,overt,covert
110,0,0.6788194444444444,Riemann,0,A13,overt,split/1
111,0,0.6719999999999999,Riemann,0,A13,overt,split/2
112,0,0.7870619946091645,Riemann,0,A13,overt,split/3
113,0,0.752021563342318,Riemann,0,A13,overt,mix
114,0,0.946,Riemann,1,A13,overt,overt
115,0,0.76,Riemann,1,A13,overt,covert
116,0,0.5432098765432098,Riemann,1,A13,overt,split/1
117,0,0.748263888888889,Riemann,1,A13,overt,split/2
118,0,0.7283653846153846,Riemann,1,A13,overt,split/3
119,0,0.7466307277628033,Riemann,1,A13,overt,mix
120,0,0.862,Riemann,2,A13,overt,overt
121,0,0.8653846153846153,Riemann,2,A13,overt,covert
122,0,0.8036006546644845,Riemann,2,A13,overt,split/1
123,0,0.8330605564648118,Riemann,2,A13,overt,split/2
124,0,0.7866419294990723,Riemann,2,A13,overt,split/3
125,0,0.8100961538461539,Riemann,2,A13,overt,mix
126,0,0.972,Riemann,3,A13,overt,overt
127,0,0.6586538461538461,Riemann,3,A13,overt,covert
128,0,0.7429193899782135,Riemann,3,A13,overt,split/1
129,0,0.7956730769230769,Riemann,3,A13,overt,split/2
130,0,0.8870192307692308,Riemann,3,A13,overt,split/3
131,0,0.8216039279869067,Riemann,3,A13,overt,mix
132,0,0.898,Riemann,4,A13,overt,overt
133,0,0.7668269230769231,Riemann,4,A13,overt,covert
134,0,0.6111111111111112,Riemann,4,A13,overt,split/1
135,0,0.4861111111111111,Riemann,4,A13,overt,split/2
136,0,0.6474074074074074,Riemann,4,A13,overt,split/3
137,0,0.8300653594771242,Riemann,4,A13,overt,mix
138,0,0.9440000000000001,Riemann,5,A13,overt,overt
139,0,0.7919254658385093,Riemann,5,A13,overt,covert
140,0,0.6645962732919255,Riemann,5,A13,overt,split/1
141,0,0.48000000000000004,Riemann,5,A13,overt,split/2
142,0,0.7736549165120593,Riemann,5,A13,overt,split/3
143,0,0.806873977086743,Riemann,5,A13,overt,mix
144,0,0.8478664192949907,CBLE,0,A13,covert,overt
145,0,0.7380000000000001,CBLE,0,A13,covert,covert
146,0,0.8301886792452831,CBLE,0,A13,covert,split/1
147,0,0.7437888198757765,CBLE,0,A13,covert,split/2
148,0,0.9418181818181819,CBLE,0,A13,covert,split/3
149,0,0.896,CBLE,0,A13,covert,mix
150,0,0.9182692307692308,CBLE,1,A13,covert,overt
151,0,0.7280000000000001,CBLE,1,A13,covert,covert
152,0,0.9302884615384616,CBLE,1,A13,covert,split/1
153,0,0.6230936819172114,CBLE,1,A13,covert,split/2
154,0,0.8711180124223603,CBLE,1,A13,covert,split/3
155,0,0.7254901960784313,CBLE,1,A13,covert,mix
156,0,0.792,CBLE,2,A13,covert,overt
157,0,0.8119999999999999,CBLE,2,A13,covert,covert
158,0,0.7881944444444445,CBLE,2,A13,covert,split/1
159,0,0.6759259259259258,CBLE,2,A13,covert,split/2
160,0,0.734375,CBLE,2,A13,covert,split/3
161,0,0.8169934640522876,CBLE,2,A13,covert,mix
162,0,0.764,CBLE,3,A13,covert,overt
163,0,0.794,CBLE,3,A13,covert,covert
164,0,0.8822751322751322,CBLE,3,A13,covert,split/1
165,0,0.7346938775510203,CBLE,3,A13,covert,split/2
166,0,0.8497217068645639,CBLE,3,A13,covert,split/3
167,0,0.8059299191374663,CBLE,3,A13,covert,mix
168,0,0.875,CBLE,4,A13,covert,overt
169,0,0.884,CBLE,4,A13,covert,covert
170,0,0.7253086419753086,CBLE,4,A13,covert,split/1
171,0,0.6971153846153846,CBLE,4,A13,covert,split/2
172,0,0.8173076923076923,CBLE,4,A13,covert,split/3
173,0,0.9010416666666666,CBLE,4,A13,covert,mix
174,0,0.8707037643207856,CBLE,5,A13,covert,overt
175,0,0.79,CBLE,5,A13,covert,covert
176,0,0.784313725490196,CBLE,5,A13,covert,split/1
177,0,0.9114583333333333,CBLE,5,A13,covert,split/2
178,0,0.9079999999999999,CBLE,5,A13,covert,split/3
179,0,0.9339999999999999,CBLE,5,A13,covert,mix
180,0,0.8328840970350404,wCBLE,0,A13,covert,overt
181,0,0.878,wCBLE,0,A13,covert,covert
182,0,0.8348794063079777,wCBLE,0,A13,covert,split/1
183,0,0.6601307189542485,wCBLE,0,A13,covert,split/2
184,0,0.9281045751633986,wCBLE,0,A13,covert,split/3
185,0,0.8221024258760108,wCBLE,0,A13,covert,mix
186,0,0.7996894409937888,wCBLE,1,A13,covert,overt
187,0,0.944,wCBLE,1,A13,covert,covert
188,0,0.90625,wCBLE,1,A13,covert,split/1
189,0,0.8620000000000001,wCBLE,1,A13,covert,split/2
190,0,0.7604166666666666,wCBLE,1,A13,covert,split/3
191,0,0.8711111111111112,wCBLE,1,A13,covert,mix
192,0,0.872,wCBLE,2,A13,covert,overt
193,0,0.796,wCBLE,2,A13,covert,covert
194,0,0.7854545454545454,wCBLE,2,A13,covert,split/1
195,0,0.7198515769944343,wCBLE,2,A13,covert,split/2
196,0,0.7843137254901961,wCBLE,2,A13,covert,split/3
