,index,roc_auc,model,fold,subject,train_cond,test_cond
0,0,0.844,Riemann,0,A02,overt,overt
1,0,0.7623456790123457,Riemann,0,A02,overt,covert
2,0,0.8086253369272237,Riemann,0,A02,overt,split/1
3,0,0.776,Riemann,0,A02,overt,split/2
4,0,0.575139146567718,Riemann,0,A02,overt,split/3
5,0,0.6850961538461539,Riemann,0,A02,overt,mix
6,0,0.83,Riemann,1,A02,overt,overt
7,0,0.726,Riemann,1,A02,overt,covert
8,0,0.7103109656301145,Riemann,1,A02,overt,split/1
9,0,0.7098765432098766,Riemann,1,A02,overt,split/2
10,0,0.576923076923077,Riemann,1,A02,overt,split/3
11,0,0.8245192307692307,Riemann,1,A02,overt,mix
12,0,0.744,Riemann,2,A02,overt,overt
13,0,0.796,Riemann,2,A02,overt,covert
14,0,0.7773654916512059,Riemann,2,A02,overt,split/1
15,0,0.5955473098330242,Riemann,2,A02,overt,split/2
16,0,0.7810760667903525,Riemann,2,A02,overt,split/3
17,0,0.7628032345013477,Riemann,2,A02,overt,mix
18,0,0.874,Riemann,3,A02,overt,overt
19,0,0.6832298136645963,Riemann,3,A02,overt,covert
20,0,0.7903525046382188,Riemann,3,A02,overt,split/1
21,0,0.7049689440993789,Riemann,3,A02,overt,split/2
22,0,0.5751633986928104,Riemann,3,A02,overt,split/3
23,0,0.6836363636363636,Riemann,3,A02,overt,mix
24,0,0.854,Riemann,4,A02,overt,overt
25,0,0.6539999999999999,Riemann,4,A02,overt,covert
26,0,0.6252319109461967,Riemann,4,A02,overt,split/1
27,0,0.5190972222222222,Riemann,4,A02,overt,split/2
28,0,0.7211328976034859,Riemann,4,A02,overt,split/3
29,0,0.49481481481481476,Riemann,4,A02,overt,mix
30,0,0.8580000000000001,Riemann,5,A02,overt,overt
31,0,0.7020000000000001,Riemann,5,A02,overt,covert
32,0,0.6118598382749326,Riemann,5,A02,overt,split/1
33,0,0.8517520215633424,Riemann,5,A02,overt,split/2
34,0,0.8159722222222221,Riemann,5,A02,overt,split/3
35,0,0.7829313543599257,Riemann,5,A02,overt,mix
36,0,0.787037037037037,Riemann,0,A02,covert,overt
37,0,0.768,Riemann,0,A02,covert,covert
38,0,0.8921832884097035,Riemann,0,A02,covert,split/1
39,0,0.6419753086419753,Riemann,0,A02,covert,split/2
40,0,0.8260869565217391,Riemann,0,A02,covert,split/3
41,0,0.8387799564270153,Riemann,0,A02,covert,mix
42,0,0.6400742115027829,Riemann,1,A02,covert,overt
43,0,0.6719999999999999,Riemann,1,A02,covert,covert
44,0,0.7538126361655773,Riemann,1,A02,covert,split/1
45,0,0.7548076923076923,Riemann,1,A02,covert,split/2
46,0,0.5838779956427015,Riemann,1,A02,covert,split/3
47,0,0.7930283224400871,Riemann,1,A02,covert,mix
48,0,0.823529411764706,Riemann,2,A02,covert,overt
49,0,0.6920000000000001,Riemann,2,A02,covert,covert
50,0,0.8072916666666666,Riemann,2,A02,covert,split/1
51,0,0.8344226579520697,Riemann,2,A02,covert,split/2
52,0,0.8399999999999999,Riemann,2,A02,covert,split/3
53,0,0.904,Riemann,2,A02,covert,mix
54,0,0.5360576923076923,Riemann,3,A02,covert,overt
55,0,0.77,Riemann,3,A02,covert,covert
56,0,0.8649237472766884,Riemann,3,A02,covert,split/1
57,0,0.6995192307692308,Riemann,3,A02,covert,split/2
58,0,0.8431677018633541,Riemann,3,A02,covert,split/3
59,0,0.8404452690166976,Riemann,3,A02,covert,mix
60,0,0.8508522727272727,Riemann,4,A02,covert,overt
61,0,0.702,Riemann,4,A02,covert,covert
62,0,0.8993055555555555,Riemann,4,A02,covert,split/1
63,0,0.7899305555555556,Riemann,4,A02,covert,split/2
64,0,0.8932461873638344,Riemann,4,A02,covert,split/3
65,0,0.8179012345679012,Riemann,4,A02,covert,mix
66,0,0.8,Riemann,5,A02,covert,overt
67,0,0.794,Riemann,5,A02,covert,covert
68,0,0.7439703153988868,Riemann,5,A02,covert,split/1
69,0,0.826265389876881,Riemann,5,A02,covert,split/2
70,0,0.8017429193899782,Riemann,5,A02,covert,split/3
71,0,0.8605664488017429,Riemann,5,A02,covert,mix
72,0,0.762,Riemann,0,A02,split/1,overt
73,0,0.6442307692307693,Riemann,0,A02,split/1,covert
74,0,0.806,Riemann,0,A02,split/1,split/1
75,0,0.8350694444444444,Riemann,0,A02,split/1,split/2
76,0,0.8177083333333334,Riemann,0,A02,split/1,split/3
77,0,0.7476808905380334,Riemann,0,A02,split/1,mix
78,0,0.7381818181818182,Riemann,1,A02,split/1,overt
79,0,0.6979166666666666,Riemann,1,A02,split/1,covert
80,0,0.904,Riemann,1,A02,split/1,split/1
81,0,0.7163461538461539,Riemann,1,A02,split/1,split/2
82,0,0.786,Riemann,1,A02,split/1,split/3
83,0,0.8518518518518519,Riemann,1,A02,split/1,mix
84,0,0.8520000000000001,Riemann,2,A02,split/1,overt
85,0,0.765625,Riemann,2,A02,split/1,covert
86,0,0.77,Riemann,2,A02,split/1,split/1
87,0,0.8738404452690167,Riemann,2,A02,split/1,split/2
88,0,0.85,Riemann,2,A02,split/1,split/3
89,0,0.7569444444444444,Riemann,2,A02,split/1,mix
90,0,0.5961538461538461,Riemann,3,A02,split/1,overt
91,0,0.7484472049689441,Riemann,3,A02,split/1,covert
92,0,0.802,Riemann,3,A02,split/1,split/1
93,0,0.7520215633423181,Riemann,3,A02,split/1,split/2
94,0,0.8598382749326146,Riemann,3,A02,split/1,split/3
95,0,0.8545454545454546,Riemann,3,A02,split/1,mix
96,0,0.8494271685761048,Riemann,4,A02,split/1,overt
97,0,0.836734693877551,Riemann,4,A02,split/1,covert
98,0,0.804,Riemann,4,A02,split/1,split/1
99,0,0.9636363636363636,Riemann,4,A02,split/1,split/2
100,0,0.76759410801964,Riemann,4,A02,split/1,split/3
101,0,0.8562091503267975,Riemann,4,A02,split/1,mix
102,0,0.6987577639751552,Riemann,5,A02,split/1,overt
103,0,0.672514619883041,Riemann,5,A02,split/1,covert
104,0,0.9019999999999999,Riemann,5,A02,split/1,split/1
105,0,0.8673050615595075,Riemann,5,A02,split/1,split/2
106,0,0.6802884615384615,Riemann,5,A02,split/1,split/3
107,0,0.90625,Riemann,5,A02,split/1,mix
108,0,0.635024549918167,Riemann,0,A02,split/2,overt
109,0,0.626,Riemann,0,A02,split/2,covert
110,0,0.7638888888888888,Riemann,0,A02,split/2,split/1
111,0,0.8360000000000001,Riemann,0,A02,split/2,split/2
112,0,0.8645833333333334,Riemann,0,A02,split/2,split/3
113,0,0.776,Riemann,0,A02,split/2,mix
114,0,0.5277777777777778,Riemann,1,A02,split/2,overt
115,0,0.7105751391465677,Riemann,1,A02,split/2,covert
116,0,0.8382749326145552,Riemann,1,A02,split/2,split/1
117,0,0.7240000000000001,Riemann,1,A02,split/2,split/2
118,0,0.7381342062193126,Riemann,1,A02,split/2,split/3
119,0,0.7403846153846154,Riemann,1,A02,split/2,mix
120,0,0.68,Riemann,2,A02,split/2,overt
121,0,0.7864923747276689,Riemann,2,A02,split/2,covert
122,0,0.8910675381263617,Riemann,2,A02,split/2,split/1
123,0,0.8780000000000001,Riemann,2,A02,split/2,split/2
124,0,0.8167701863354038,Riemann,2,A02,split/2,split/3
125,0,0.8870703764320786,Riemann,2,A02,split/2,mix
126,0,0.6072727272727273,Riemann,3,A02,split/2,overt
127,0,0.8298611111111112,Riemann,3,A02,split/2,covert
128,0,0.8237476808905382,Riemann,3,A02,split/2,split/1
129,0,0.722,Riemann,3,A02,split/2,split/2
130,0,0.8981481481481481,Riemann,3,A02,split/2,split/3
131,0,0.821350762527233,Riemann,3,A02,split/2,mix
132,0,0.56,Riemann,4,A02,split/2,overt
133,0,0.6730769230769231,Riemann,4,A02,split/2,covert
134,0,0.8274582560296846,Riemann,4,A02,split/2,split/1
135,0,0.83,Riemann,4,A02,split/2,split/2
136,0,0.9230769230769231,Riemann,4,A02,split/2,split/3
137,0,0.8221024258760108,Riemann,4,A02,split/2,mix
138,0,0.788,Riemann,5,A02,split/2,overt
139,0,0.674,Riemann,5,A02,split/2,covert
140,0,0.8220000000000001,Riemann,5,A02,split/2,split/1
141,0,0.8640000000000001,Riemann,5,A02,split/2,split/2
142,0,0.9326145552560647,Riemann,5,A02,split/2,split/3
143,0,0.7277628032345014,Riemann,5,A02,split/2,mix
144,0,0.7127329192546584,Riemann,0,A02,split/3,overt
145,0,0.8246527777777777,Riemann,0,A02,split/3,covert
146,0,0.8169934640522876,Riemann,0,A02,split/3,split/1
147,0,0.878887070376432,Riemann,0,A02,split/3,split/2
148,0,0.924,Riemann,0,A02,split/3,split/3
149,0,0.826388888888889,Riemann,0,A02,split/3,mix
150,0,0.6040000000000001,Riemann,1,A02,split/3,overt
151,0,0.782,Riemann,1,A02,split/3,covert
152,0,0.8400621118012424,Riemann,1,A02,split/3,split/1
153,0,0.8355795148247979,Riemann,1,A02,split/3,split/2
154,0,0.796,Riemann,1,A02,split/3,split/3
155,0,0.7980769230769231,Riemann,1,A02,split/3,mix
156,0,0.734860883797054,Riemann,2,A02,split/3,overt
157,0,0.6859999999999999,Riemann,2,A02,split/3,covert
158,0,0.858173076923077,Riemann,2,A02,split/3,split/1
159,0,0.9230769230769231,Riemann,2,A02,split/3,split/2
160,0,0.99,Riemann,2,A02,split/3,split/3
161,0,0.8365384615384616,Riemann,2,A02,split/3,mix
162,0,0.5256064690026954,Riemann,3,A02,split/3,overt
163,0,0.7774140752864157,Riemann,3,A02,split/3,covert
164,0,0.9029649595687332,Riemann,3,A02,split/3,split/1
165,0,0.888,Riemann,3,A02,split/3,split/2
166,0,0.9219999999999999,Riemann,3,A02,split/3,split/3
167,0,0.9236363636363637,Riemann,3,A02,split/3,mix
168,0,0.7276688453159041,Riemann,4,A02,split/3,overt
169,0,0.7699443413729128,Riemann,4,A02,split/3,covert
170,0,0.7886710239651415,Riemann,4,A02,split/3,split/1
