,accuracy,n_trials,subject,condition,model,fold,session
0,1.0,1,A12,overt,XDAWNCov-TS-LogReg,0,1
0,0.0,2,A12,overt,XDAWNCov-TS-LogReg,0,1
0,1.0,3,A12,overt,XDAWNCov-TS-LogReg,0,1
0,1.0,4,A12,overt,XDAWNCov-TS-LogReg,0,1
0,1.0,5,A12,overt,XDAWNCov-TS-LogReg,0,1
0,1.0,6,A12,overt,XDAWNCov-TS-LogReg,0,1
0,1.0,7,A12,overt,XDAWNCov-TS-LogReg,0,1
0,1.0,8,A12,overt,XDAWNCov-TS-LogReg,0,1
0,1.0,9,A12,overt,XDAWNCov-TS-LogReg,0,1
0,1.0,10,A12,overt,XDAWNCov-TS-LogReg,0,1
0,1.0,1,A12,overt,XDAWNCov-TS-LogReg,1,1
0,1.0,2,A12,overt,XDAWNCov-TS-LogReg,1,1
0,1.0,3,A12,overt,XDAWNCov-TS-LogReg,1,1
0,1.0,4,A12,overt,XDAWNCov-TS-LogReg,1,1
0,1.0,5,A12,overt,XDAWNCov-TS-LogReg,1,1
0,1.0,6,A12,overt,XDAWNCov-TS-LogReg,1,1
0,1.0,7,A12,overt,XDAWNCov-TS-LogReg,1,1
0,1.0,8,A12,overt,XDAWNCov-TS-LogReg,1,1
0,1.0,9,A12,overt,XDAWNCov-TS-LogReg,1,1
0,1.0,10,A12,overt,XDAWNCov-TS-LogReg,1,1
0,0.0,1,A12,overt,XDAWNCov-TS-LogReg,2,1
0,1.0,2,A12,overt,XDAWNCov-TS-LogReg,2,1
0,1.0,3,A12,overt,XDAWNCov-TS-LogReg,2,1
0,1.0,4,A12,overt,XDAWNCov-TS-LogReg,2,1
0,1.0,5,A12,overt,XDAWNCov-TS-LogReg,2,1
0,1.0,6,A12,overt,XDAWNCov-TS-LogReg,2,1
0,1.0,7,A12,overt,XDAWNCov-TS-LogReg,2,1
0,1.0,8,A12,overt,XDAWNCov-TS-LogReg,2,1
0,1.0,9,A12,overt,XDAWNCov-TS-LogReg,2,1
0,1.0,10,A12,overt,XDAWNCov-TS-LogReg,2,1
0,1.0,1,A12,overt,XDAWNCov-TS-LogReg,3,1
0,1.0,2,A12,overt,XDAWNCov-TS-LogReg,3,1
0,1.0,3,A12,overt,XDAWNCov-TS-LogReg,3,1
0,1.0,4,A12,overt,XDAWNCov-TS-LogReg,3,1
0,1.0,5,A12,overt,XDAWNCov-TS-LogReg,3,1
0,1.0,6,A12,overt,XDAWNCov-TS-LogReg,3,1
0,1.0,7,A12,overt,XDAWNCov-TS-LogReg,3,1
0,1.0,8,A12,overt,XDAWNCov-TS-LogReg,3,1
0,1.0,9,A12,overt,XDAWNCov-TS-LogReg,3,1
0,1.0,10,A12,overt,XDAWNCov-TS-LogReg,3,1
0,0.0,1,A12,overt,XDAWNCov-TS-LogReg,4,1
0,1.0,2,A12,overt,XDAWNCov-TS-LogReg,4,1
0,1.0,3,A12,overt,XDAWNCov-TS-LogReg,4,1
0,1.0,4,A12,overt,XDAWNCov-TS-LogReg,4,1
0,1.0,5,A12,overt,XDAWNCov-TS-LogReg,4,1
0,1.0,6,A12,overt,XDAWNCov-TS-LogReg,4,1
0,1.0,7,A12,overt,XDAWNCov-TS-LogReg,4,1
0,1.0,8,A12,overt,XDAWNCov-TS-LogReg,4,1
0,1.0,9,A12,overt,XDAWNCov-TS-LogReg,4,1
0,1.0,10,A12,overt,XDAWNCov-TS-LogReg,4,1
0,0.0,1,A12,overt,XDAWNCov-TS-LogReg,5,1
0,1.0,2,A12,overt,XDAWNCov-TS-LogReg,5,1
0,1.0,3,A12,overt,XDAWNCov-TS-LogReg,5,1
0,1.0,4,A12,overt,XDAWNCov-TS-LogReg,5,1
0,1.0,5,A12,overt,XDAWNCov-TS-LogReg,5,1
0,1.0,6,A12,overt,XDAWNCov-TS-LogReg,5,1
0,1.0,7,A12,overt,XDAWNCov-TS-LogReg,5,1
0,1.0,8,A12,overt,XDAWNCov-TS-LogReg,5,1
0,1.0,9,A12,overt,XDAWNCov-TS-LogReg,5,1
0,1.0,10,A12,overt,XDAWNCov-TS-LogReg,5,1
0,1.0,1,A12,overt,ERPCov-TS-LogReg,0,1
0,1.0,2,A12,overt,ERPCov-TS-LogReg,0,1
0,1.0,3,A12,overt,ERPCov-TS-LogReg,0,1
0,1.0,4,A12,overt,ERPCov-TS-LogReg,0,1
0,1.0,5,A12,overt,ERPCov-TS-LogReg,0,1
0,1.0,6,A12,overt,ERPCov-TS-LogReg,0,1
0,1.0,7,A12,overt,ERPCov-TS-LogReg,0,1
0,1.0,8,A12,overt,ERPCov-TS-LogReg,0,1
0,1.0,9,A12,overt,ERPCov-TS-LogReg,0,1
0,1.0,10,A12,overt,ERPCov-TS-LogReg,0,1
0,1.0,1,A12,overt,ERPCov-TS-LogReg,1,1
0,1.0,2,A12,overt,ERPCov-TS-LogReg,1,1
0,1.0,3,A12,overt,ERPCov-TS-LogReg,1,1
0,1.0,4,A12,overt,ERPCov-TS-LogReg,1,1
