,index,roc_auc,model,fold,subject,train_cond,test_cond
0,0,0.728,XDAWNCov-TS-LogReg,0,A08,overt,overt
1,0,0.636,XDAWNCov-TS-LogReg,0,A08,overt,covert
2,0,0.6311111111111112,XDAWNCov-TS-LogReg,0,A08,overt,split/1
3,0,0.8036363636363636,XDAWNCov-TS-LogReg,0,A08,overt,split/2
4,0,0.6475694444444444,XDAWNCov-TS-LogReg,0,A08,overt,split/3
5,0,0.4947916666666667,XDAWNCov-TS-LogReg,0,A08,overt,mix
6,0,0.904,XDAWNCov-TS-LogReg,1,A08,overt,overt
7,0,0.7163461538461539,XDAWNCov-TS-LogReg,1,A08,overt,covert
8,0,0.7361111111111112,XDAWNCov-TS-LogReg,1,A08,overt,split/1
9,0,0.5357142857142857,XDAWNCov-TS-LogReg,1,A08,overt,split/2
10,0,0.532608695652174,XDAWNCov-TS-LogReg,1,A08,overt,split/3
11,0,0.7361111111111112,XDAWNCov-TS-LogReg,1,A08,overt,mix
12,0,0.702,XDAWNCov-TS-LogReg,2,A08,overt,overt
13,0,0.65625,XDAWNCov-TS-LogReg,2,A08,overt,covert
14,0,0.3734567901234568,XDAWNCov-TS-LogReg,2,A08,overt,split/1
15,0,0.5980000000000001,XDAWNCov-TS-LogReg,2,A08,overt,split/2
16,0,0.662,XDAWNCov-TS-LogReg,2,A08,overt,split/3
17,0,0.4501347708894879,XDAWNCov-TS-LogReg,2,A08,overt,mix
18,0,0.876,XDAWNCov-TS-LogReg,3,A08,overt,overt
19,0,0.7105751391465678,XDAWNCov-TS-LogReg,3,A08,overt,covert
20,0,0.7189542483660131,XDAWNCov-TS-LogReg,3,A08,overt,split/1
21,0,0.5240384615384615,XDAWNCov-TS-LogReg,3,A08,overt,split/2
22,0,0.5876010781671158,XDAWNCov-TS-LogReg,3,A08,overt,split/3
23,0,0.7789757412398922,XDAWNCov-TS-LogReg,3,A08,overt,mix
24,0,0.7939999999999999,XDAWNCov-TS-LogReg,4,A08,overt,overt
25,0,0.5895061728395062,XDAWNCov-TS-LogReg,4,A08,overt,covert
26,0,0.6327160493827161,XDAWNCov-TS-LogReg,4,A08,overt,split/1
27,0,0.6014814814814815,XDAWNCov-TS-LogReg,4,A08,overt,split/2
28,0,0.6100217864923747,XDAWNCov-TS-LogReg,4,A08,overt,split/3
29,0,0.5168269230769231,XDAWNCov-TS-LogReg,4,A08,overt,mix
30,0,0.8520000000000001,XDAWNCov-TS-LogReg,5,A08,overt,overt
31,0,0.6595744680851064,XDAWNCov-TS-LogReg,5,A08,overt,covert
32,0,0.6892361111111112,XDAWNCov-TS-LogReg,5,A08,overt,split/1
33,0,0.40625,XDAWNCov-TS-LogReg,5,A08,overt,split/2
34,0,0.7932692307692308,XDAWNCov-TS-LogReg,5,A08,overt,split/3
35,0,0.7699443413729128,XDAWNCov-TS-LogReg,5,A08,overt,mix
36,0,0.8500000000000001,ERPCov-TS-LogReg,0,A08,overt,overt
37,0,0.666,ERPCov-TS-LogReg,0,A08,overt,covert
38,0,0.71875,ERPCov-TS-LogReg,0,A08,overt,split/1
39,0,0.5288461538461539,ERPCov-TS-LogReg,0,A08,overt,split/2
40,0,0.49382716049382713,ERPCov-TS-LogReg,0,A08,overt,split/3
41,0,0.7298474945533768,ERPCov-TS-LogReg,0,A08,overt,mix
42,0,0.8160000000000001,ERPCov-TS-LogReg,1,A08,overt,overt
43,0,0.7959183673469388,ERPCov-TS-LogReg,1,A08,overt,covert
44,0,0.7362962962962963,ERPCov-TS-LogReg,1,A08,overt,split/1
45,0,0.74,ERPCov-TS-LogReg,1,A08,overt,split/2
46,0,0.6209150326797386,ERPCov-TS-LogReg,1,A08,overt,split/3
47,0,0.7067307692307692,ERPCov-TS-LogReg,1,A08,overt,mix
48,0,0.8320000000000001,ERPCov-TS-LogReg,2,A08,overt,overt
49,0,0.7572115384615384,ERPCov-TS-LogReg,2,A08,overt,covert
50,0,0.7345454545454546,ERPCov-TS-LogReg,2,A08,overt,split/1
51,0,0.738562091503268,ERPCov-TS-LogReg,2,A08,overt,split/2
52,0,0.6103896103896104,ERPCov-TS-LogReg,2,A08,overt,split/3
53,0,0.5992578849721707,ERPCov-TS-LogReg,2,A08,overt,mix
54,0,0.8620000000000001,ERPCov-TS-LogReg,3,A08,overt,overt
55,0,0.6634615384615385,ERPCov-TS-LogReg,3,A08,overt,covert
56,0,0.6145833333333333,ERPCov-TS-LogReg,3,A08,overt,split/1
57,0,0.6178107606679036,ERPCov-TS-LogReg,3,A08,overt,split/2
58,0,0.7333333333333334,ERPCov-TS-LogReg,3,A08,overt,split/3
59,0,0.634,ERPCov-TS-LogReg,3,A08,overt,mix
60,0,0.622,ERPCov-TS-LogReg,4,A08,overt,overt
61,0,0.5552884615384616,ERPCov-TS-LogReg,4,A08,overt,covert
62,0,0.49691358024691357,ERPCov-TS-LogReg,4,A08,overt,split/1
63,0,0.6971153846153846,ERPCov-TS-LogReg,4,A08,overt,split/2
64,0,0.4990723562152134,ERPCov-TS-LogReg,4,A08,overt,split/3
65,0,0.698,ERPCov-TS-LogReg,4,A08,overt,mix
66,0,0.7859999999999999,ERPCov-TS-LogReg,5,A08,overt,overt
67,0,0.6266666666666667,ERPCov-TS-LogReg,5,A08,overt,covert
68,0,0.4968944099378882,ERPCov-TS-LogReg,5,A08,overt,split/1
69,0,0.4580745341614907,ERPCov-TS-LogReg,5,A08,overt,split/2
70,0,0.7259615384615384,ERPCov-TS-LogReg,5,A08,overt,split/3
71,0,0.7058823529411764,ERPCov-TS-LogReg,5,A08,overt,mix
72,0,0.8247978436657682,XDAWNCov-TS-LogReg,0,A08,covert,overt
73,0,0.768,XDAWNCov-TS-LogReg,0,A08,covert,covert
74,0,0.5510204081632653,XDAWNCov-TS-LogReg,0,A08,covert,split/1
75,0,0.6984126984126984,XDAWNCov-TS-LogReg,0,A08,covert,split/2
76,0,0.575139146567718,XDAWNCov-TS-LogReg,0,A08,covert,split/3
77,0,0.7142857142857143,XDAWNCov-TS-LogReg,0,A08,covert,mix
78,0,0.6218181818181818,XDAWNCov-TS-LogReg,1,A08,covert,overt
79,0,0.712,XDAWNCov-TS-LogReg,1,A08,covert,covert
80,0,0.6442048517520216,XDAWNCov-TS-LogReg,1,A08,covert,split/1
81,0,0.634,XDAWNCov-TS-LogReg,1,A08,covert,split/2
82,0,0.560763888888889,XDAWNCov-TS-LogReg,1,A08,covert,split/3
83,0,0.6710239651416121,XDAWNCov-TS-LogReg,1,A08,covert,mix
84,0,0.7088948787061995,XDAWNCov-TS-LogReg,2,A08,covert,overt
