,index,roc_auc,model,fold,subject,train_cond,test_cond
0,0,0.716,Riemann,0,A09,overt,overt
1,0,0.7866419294990723,Riemann,0,A09,overt,covert
2,0,0.6005291005291006,Riemann,0,A09,overt,split/1
3,0,0.7620192307692308,Riemann,0,A09,overt,split/2
4,0,0.7551020408163265,Riemann,0,A09,overt,split/3
5,0,0.8274932614555256,Riemann,0,A09,overt,mix
6,0,0.8799999999999999,Riemann,1,A09,overt,overt
7,0,0.6388140161725067,Riemann,1,A09,overt,covert
8,0,0.6405228758169934,Riemann,1,A09,overt,split/1
9,0,0.6639999999999999,Riemann,1,A09,overt,split/2
10,0,0.8802083333333333,Riemann,1,A09,overt,split/3
11,0,0.7717391304347826,Riemann,1,A09,overt,mix
12,0,0.796,Riemann,2,A09,overt,overt
13,0,0.8317307692307692,Riemann,2,A09,overt,covert
14,0,0.7170138888888888,Riemann,2,A09,overt,split/1
15,0,0.689903846153846,Riemann,2,A09,overt,split/2
16,0,0.7298474945533769,Riemann,2,A09,overt,split/3
17,0,0.7427884615384615,Riemann,2,A09,overt,mix
18,0,0.778,Riemann,3,A09,overt,overt
19,0,0.8125,Riemann,3,A09,overt,covert
20,0,0.5,Riemann,3,A09,overt,split/1
21,0,0.7525925925925926,Riemann,3,A09,overt,split/2
22,0,0.7291280148423005,Riemann,3,A09,overt,split/3
23,0,0.7181942544459644,Riemann,3,A09,overt,mix
24,0,0.896,Riemann,4,A09,overt,overt
25,0,0.6289424860853432,Riemann,4,A09,overt,covert
26,0,0.7298474945533769,Riemann,4,A09,overt,split/1
27,0,0.406,Riemann,4,A09,overt,split/2
28,0,0.6981132075471698,Riemann,4,A09,overt,split/3
29,0,0.878,Riemann,4,A09,overt,mix
30,0,0.734,Riemann,5,A09,overt,overt
31,0,0.6962962962962963,Riemann,5,A09,overt,covert
32,0,0.7115384615384615,Riemann,5,A09,overt,split/1
33,0,0.6644880174291938,Riemann,5,A09,overt,split/2
34,0,0.756,Riemann,5,A09,overt,split/3
35,0,0.6322115384615384,Riemann,5,A09,overt,mix
36,0,0.764,Riemann,0,A09,covert,overt
37,0,0.798,Riemann,0,A09,covert,covert
38,0,0.9197530864197532,Riemann,0,A09,covert,split/1
39,0,0.736,Riemann,0,A09,covert,split/2
40,0,0.8677884615384616,Riemann,0,A09,covert,split/3
41,0,0.6579861111111112,Riemann,0,A09,covert,mix
42,0,0.726,Riemann,1,A09,covert,overt
43,0,0.7200000000000001,Riemann,1,A09,covert,covert
44,0,0.796,Riemann,1,A09,covert,split/1
45,0,0.7318518518518519,Riemann,1,A09,covert,split/2
46,0,0.9197530864197532,Riemann,1,A09,covert,split/3
47,0,0.888,Riemann,1,A09,covert,mix
48,0,0.7161410018552876,Riemann,2,A09,covert,overt
49,0,0.704,Riemann,2,A09,covert,covert
50,0,0.6899038461538461,Riemann,2,A09,covert,split/1
51,0,0.8629807692307692,Riemann,2,A09,covert,split/2
52,0,0.7414075286415712,Riemann,2,A09,covert,split/3
53,0,0.8946648426812585,Riemann,2,A09,covert,mix
54,0,0.772,Riemann,3,A09,covert,overt
55,0,0.7639999999999999,Riemann,3,A09,covert,covert
56,0,0.7446808510638299,Riemann,3,A09,covert,split/1
57,0,0.8872727272727273,Riemann,3,A09,covert,split/2
58,0,0.692,Riemann,3,A09,covert,split/3
59,0,0.8436657681940701,Riemann,3,A09,covert,mix
60,0,0.7250409165302782,Riemann,4,A09,covert,overt
61,0,0.8320000000000001,Riemann,4,A09,covert,covert
62,0,0.8524305555555556,Riemann,4,A09,covert,split/1
63,0,0.8003273322422259,Riemann,4,A09,covert,split/2
64,0,0.9131944444444444,Riemann,4,A09,covert,split/3
65,0,0.6710239651416122,Riemann,4,A09,covert,mix
66,0,0.6975308641975309,Riemann,5,A09,covert,overt
67,0,0.686,Riemann,5,A09,covert,covert
68,0,0.764378478664193,Riemann,5,A09,covert,split/1
69,0,0.7342047930283224,Riemann,5,A09,covert,split/2
70,0,0.9406307977736549,Riemann,5,A09,covert,split/3
71,0,0.8366013071895424,Riemann,5,A09,covert,mix
72,0,0.5955473098330241,Riemann,0,A09,split/1,overt
73,0,0.5924713584288053,Riemann,0,A09,split/1,covert
74,0,0.782,Riemann,0,A09,split/1,split/1
75,0,0.90625,Riemann,0,A09,split/1,split/2
76,0,0.8540305010893247,Riemann,0,A09,split/1,split/3
77,0,0.8679245283018868,Riemann,0,A09,split/1,mix
78,0,0.4596949891067538,Riemann,1,A09,split/1,overt
79,0,0.6318082788671023,Riemann,1,A09,split/1,covert
80,0,0.712,Riemann,1,A09,split/1,split/1
81,0,0.5102040816326531,Riemann,1,A09,split/1,split/2
82,0,0.6363636363636365,Riemann,1,A09,split/1,split/3
83,0,0.7836538461538461,Riemann,1,A09,split/1,mix
84,0,0.6732026143790849,Riemann,2,A09,split/1,overt
85,0,0.6954177897574124,Riemann,2,A09,split/1,covert
86,0,0.928,Riemann,2,A09,split/1,split/1
87,0,0.7847222222222222,Riemann,2,A09,split/1,split/2
88,0,0.8309659090909091,Riemann,2,A09,split/1,split/3
89,0,0.7668269230769231,Riemann,2,A09,split/1,mix
90,0,0.8235294117647058,Riemann,3,A09,split/1,overt
91,0,0.7447916666666666,Riemann,3,A09,split/1,covert
92,0,0.77,Riemann,3,A09,split/1,split/1
93,0,0.8552875695732839,Riemann,3,A09,split/1,split/2
94,0,0.8923933209647497,Riemann,3,A09,split/1,split/3
95,0,0.7857142857142857,Riemann,3,A09,split/1,mix
96,0,0.5807050092764379,Riemann,4,A09,split/1,overt
97,0,0.7799564270152505,Riemann,4,A09,split/1,covert
98,0,0.776,Riemann,4,A09,split/1,split/1
99,0,0.79,Riemann,4,A09,split/1,split/2
100,0,0.7829313543599258,Riemann,4,A09,split/1,split/3
101,0,0.6071428571428571,Riemann,4,A09,split/1,mix
102,0,0.6623376623376623,Riemann,5,A09,split/1,overt
103,0,0.746,Riemann,5,A09,split/1,covert
104,0,0.804,Riemann,5,A09,split/1,split/1
105,0,0.7482638888888888,Riemann,5,A09,split/1,split/2
106,0,0.8966346153846153,Riemann,5,A09,split/1,split/3
107,0,0.7545008183306057,Riemann,5,A09,split/1,mix
108,0,0.5837037037037037,Riemann,0,A09,split/2,overt
109,0,0.8051948051948052,Riemann,0,A09,split/2,covert
110,0,0.7548076923076923,Riemann,0,A09,split/2,split/1
111,0,0.834,Riemann,0,A09,split/2,split/2
112,0,0.8543371522094927,Riemann,0,A09,split/2,split/3
113,0,0.867430441898527,Riemann,0,A09,split/2,mix
114,0,0.6,Riemann,1,A09,split/2,overt
115,0,0.9272727272727272,Riemann,1,A09,split/2,covert
116,0,0.6631944444444444,Riemann,1,A09,split/2,split/1
117,0,0.8420000000000001,Riemann,1,A09,split/2,split/2
118,0,0.6792144026186578,Riemann,1,A09,split/2,split/3
119,0,0.6475155279503106,Riemann,1,A09,split/2,mix
120,0,0.5815972222222222,Riemann,2,A09,split/2,overt
121,0,0.8300653594771241,Riemann,2,A09,split/2,covert
122,0,0.8474945533769063,Riemann,2,A09,split/2,split/1
123,0,0.774,Riemann,2,A09,split/2,split/2
124,0,0.8173076923076924,Riemann,2,A09,split/2,split/3
125,0,0.7211538461538461,Riemann,2,A09,split/2,mix
126,0,0.6981132075471698,Riemann,3,A09,split/2,overt
127,0,0.6775568181818181,Riemann,3,A09,split/2,covert
128,0,0.7447916666666667,Riemann,3,A09,split/2,split/1
129,0,0.8620000000000001,Riemann,3,A09,split/2,split/2
130,0,0.89,Riemann,3,A09,split/2,split/3
131,0,0.8593749999999999,Riemann,3,A09,split/2,mix
