,index,roc_auc,model,fold,subject,train_cond,test_cond
0,0,0.8340000000000001,XDAWN+Rg,0,A14,overt,overt
1,0,0.6875,XDAWN+Rg,0,A14,overt,covert
2,0,0.4675324675324675,XDAWN+Rg,0,A14,overt,split/1
3,0,0.644880174291939,XDAWN+Rg,0,A14,overt,split/2
4,0,0.4444444444444444,XDAWN+Rg,0,A14,overt,split/3
5,0,0.6522911051212938,XDAWN+Rg,0,A14,overt,mix
6,0,0.8840000000000001,XDAWN+Rg,1,A14,overt,overt
7,0,0.808,XDAWN+Rg,1,A14,overt,covert
8,0,0.6808905380333952,XDAWN+Rg,1,A14,overt,split/1
9,0,0.6481178396072014,XDAWN+Rg,1,A14,overt,split/2
10,0,0.5889423076923077,XDAWN+Rg,1,A14,overt,split/3
11,0,0.6586538461538461,XDAWN+Rg,1,A14,overt,mix
12,0,0.946,XDAWN+Rg,2,A14,overt,overt
13,0,0.6196660482374767,XDAWN+Rg,2,A14,overt,covert
14,0,0.522875816993464,XDAWN+Rg,2,A14,overt,split/1
15,0,0.3970315398886828,XDAWN+Rg,2,A14,overt,split/2
16,0,0.42080745341614906,XDAWN+Rg,2,A14,overt,split/3
17,0,0.7139423076923077,XDAWN+Rg,2,A14,overt,mix
18,0,0.946,XDAWN+Rg,3,A14,overt,overt
19,0,0.8032345013477089,XDAWN+Rg,3,A14,overt,covert
20,0,0.5360576923076923,XDAWN+Rg,3,A14,overt,split/1
21,0,0.526,XDAWN+Rg,3,A14,overt,split/2
22,0,0.42483660130718953,XDAWN+Rg,3,A14,overt,split/3
23,0,0.771799628942486,XDAWN+Rg,3,A14,overt,mix
24,0,0.882,XDAWN+Rg,4,A14,overt,overt
25,0,0.8019639934533551,XDAWN+Rg,4,A14,overt,covert
26,0,0.6567717996289425,XDAWN+Rg,4,A14,overt,split/1
27,0,0.5163636363636364,XDAWN+Rg,4,A14,overt,split/2
28,0,0.47866419294990725,XDAWN+Rg,4,A14,overt,split/3
29,0,0.5138888888888888,XDAWN+Rg,4,A14,overt,mix
30,0,0.984,XDAWN+Rg,5,A14,overt,overt
31,0,0.6716141001855287,XDAWN+Rg,5,A14,overt,covert
32,0,0.752,XDAWN+Rg,5,A14,overt,split/1
33,0,0.6545138888888888,XDAWN+Rg,5,A14,overt,split/2
34,0,0.5250544662309368,XDAWN+Rg,5,A14,overt,split/3
35,0,0.6799999999999999,XDAWN+Rg,5,A14,overt,mix
36,0,0.7392592592592592,XDAWN+Rg,0,A14,covert,overt
37,0,0.7079999999999999,XDAWN+Rg,0,A14,covert,covert
38,0,0.8126361655773421,XDAWN+Rg,0,A14,covert,split/1
39,0,0.6339869281045752,XDAWN+Rg,0,A14,covert,split/2
40,0,0.5456730769230769,XDAWN+Rg,0,A14,covert,split/3
41,0,0.6938775510204082,XDAWN+Rg,0,A14,covert,mix
42,0,0.6994434137291279,XDAWN+Rg,1,A14,covert,overt
43,0,0.74,XDAWN+Rg,1,A14,covert,covert
44,0,0.6072013093289689,XDAWN+Rg,1,A14,covert,split/1
45,0,0.6503703703703704,XDAWN+Rg,1,A14,covert,split/2
46,0,0.7214814814814814,XDAWN+Rg,1,A14,covert,split/3
47,0,0.5775862068965517,XDAWN+Rg,1,A14,covert,mix
48,0,0.7712418300653594,XDAWN+Rg,2,A14,covert,overt
49,0,0.7180000000000001,XDAWN+Rg,2,A14,covert,covert
50,0,0.59375,XDAWN+Rg,2,A14,covert,split/1
51,0,0.5924713584288053,XDAWN+Rg,2,A14,covert,split/2
52,0,0.7870619946091644,XDAWN+Rg,2,A14,covert,split/3
53,0,0.6064690026954178,XDAWN+Rg,2,A14,covert,mix
54,0,0.6995192307692307,XDAWN+Rg,3,A14,covert,overt
55,0,0.786,XDAWN+Rg,3,A14,covert,covert
56,0,0.5802469135802468,XDAWN+Rg,3,A14,covert,split/1
57,0,0.65625,XDAWN+Rg,3,A14,covert,split/2
