,fit_time,score_time,test_score,subject,session,task,acquisition,run,processing,space,recording,split,description,condition,pipeline
10,0.32137560844421387,0.011033296585083008,0.8055555555555556,PA01,01,cvsa,,,ica,,,,,overt,WCBLE
11,0.2860407829284668,0.010162591934204102,0.5075757575757576,PA01,01,cvsa,,,ica,,,,,overt,WCBLE
12,0.3553202152252197,0.010688304901123047,0.7626262626262625,PA01,01,cvsa,,,ica,,,,,overt,WCBLE
13,0.4729132652282715,0.010281085968017578,0.8282828282828283,PA01,01,cvsa,,,ica,,,,,overt,WCBLE
14,0.27620577812194824,0.010305404663085938,0.6641414141414141,PA01,01,cvsa,,,ica,,,,,overt,WCBLE
15,0.3873937129974365,0.010491371154785156,0.9222222222222223,PA01,01,cvsa,,,ica,,,,,overt,WCBLE
16,0.2423396110534668,0.010309457778930664,0.7472222222222222,PA01,01,cvsa,,,ica,,,,,overt,WCBLE
17,0.3862497806549072,0.02239823341369629,0.6333333333333333,PA01,01,cvsa,,,ica,,,,,overt,WCBLE
18,0.27912425994873047,0.009982585906982422,0.5255681818181819,PA01,01,cvsa,,,ica,,,,,overt,WCBLE
19,0.2336103916168213,0.010282039642333984,0.7585227272727273,PA01,01,cvsa,,,ica,,,,,overt,WCBLE
30,0.31064653396606445,0.010363340377807617,0.4722222222222222,PA01,01,cvsa,,,ica,,,,,covert,WCBLE
31,0.43282127380371094,0.010341644287109375,0.5126262626262625,PA01,01,cvsa,,,ica,,,,,covert,WCBLE
32,0.23456478118896484,0.010642051696777344,0.7752525252525252,PA01,01,cvsa,,,ica,,,,,covert,WCBLE
33,0.24527931213378906,0.01065969467163086,0.7222222222222222,PA01,01,cvsa,,,ica,,,,,covert,WCBLE
34,0.28453564643859863,0.009950876235961914,0.6732954545454546,PA01,01,cvsa,,,ica,,,,,covert,WCBLE
35,0.32096219062805176,0.010067939758300781,0.7130681818181819,PA01,01,cvsa,,,ica,,,,,covert,WCBLE
36,0.28473925590515137,0.010195732116699219,0.5085227272727273,PA01,01,cvsa,,,ica,,,,,covert,WCBLE
37,0.31403088569641113,0.010449886322021484,0.5454545454545455,PA01,01,cvsa,,,ica,,,,,covert,WCBLE
38,0.2777066230773926,0.01017308235168457,0.5348837209302326,PA01,01,cvsa,,,ica,,,,,covert,WCBLE
39,0.37285590171813965,0.010724782943725586,0.7002583979328165,PA01,01,cvsa,,,ica,,,,,covert,WCBLE
50,0.2781846523284912,0.010626077651977539,0.8005050505050505,PA01,01,cvsa,,,ica,,,,,free,WCBLE
51,0.2930445671081543,0.010248422622680664,0.7348484848484849,PA01,01,cvsa,,,ica,,,,,free,WCBLE
52,0.2748425006866455,0.010864734649658203,0.8055555555555556,PA01,01,cvsa,,,ica,,,,,free,WCBLE
53,0.3309030532836914,0.010374069213867188,0.6691919191919192,PA01,01,cvsa,,,ica,,,,,free,WCBLE
54,0.4239044189453125,0.010709285736083984,0.625,PA01,01,cvsa,,,ica,,,,,free,WCBLE
