,stc,snr,jitter,method,rho,fold
0,sine,0,0.1,CBLE-median,0.9971386630880513,0
1,sine,0,0.1,CBLE-median,0.9684619092066049,1
2,sine,0,0.1,CBLE-median,0.9866020431728524,2
3,sine,0,0.1,CBLE-median,0.9360521873353793,3
4,sine,0,0.1,CBLE-median,0.9911787619424958,4
5,sine,0,0.1,CBLE-median,0.9967477206841004,5
6,sine,0,0.1,CBLE-median,0.9503248571925944,6
7,sine,0,0.1,CBLE-median,0.957000219695989,7
8,sine,0,0.1,CBLE-median,0.9831991746523455,8
9,sine,0,0.1,CBLE-median,0.9933370604567691,9
10,sine,0,0.1,WCBLE-median,0.9951099951457749,0
11,sine,0,0.1,WCBLE-median,0.9985000380600654,1
12,sine,0,0.1,WCBLE-median,0.993928441620215,2
13,sine,0,0.1,WCBLE-median,0.9922689865846789,3
14,sine,0,0.1,WCBLE-median,0.9957574113134251,4
15,sine,0,0.1,WCBLE-median,0.9970779716560806,5
16,sine,0,0.1,WCBLE-median,0.9950937449092963,6
17,sine,0,0.1,WCBLE-median,0.9939728266741847,7
18,sine,0,0.1,WCBLE-median,0.9957153017508265,8
19,sine,0,0.1,WCBLE-median,0.9972287322391932,9
20,sine,0,0.2,CBLE-median,0.9968026243920475,0
21,sine,0,0.2,CBLE-median,0.9553559981766608,1
22,sine,0,0.2,CBLE-median,0.9738930011254776,2
23,sine,0,0.2,CBLE-median,0.9983946599475233,3
24,sine,0,0.2,CBLE-median,0.9952426626374471,4
25,sine,0,0.2,CBLE-median,0.978960143103921,5
26,sine,0,0.2,CBLE-median,0.9847247935527795,6
27,sine,0,0.2,CBLE-median,0.9289262273714556,7
28,sine,0,0.2,CBLE-median,0.911306813903779,8
29,sine,0,0.2,CBLE-median,0.9418021744210291,9
30,sine,0,0.2,WCBLE-median,0.9989198852669015,0
31,sine,0,0.2,WCBLE-median,0.9993230871826472,1
32,sine,0,0.2,WCBLE-median,0.9986019652240878,2
33,sine,0,0.2,WCBLE-median,0.9983946599475233,3
34,sine,0,0.2,WCBLE-median,0.9975994074045619,4
35,sine,0,0.2,WCBLE-median,0.9987696604933982,5
36,sine,0,0.2,WCBLE-median,0.9989601186455341,6
37,sine,0,0.2,WCBLE-median,0.9975166859982221,7
38,sine,0,0.2,WCBLE-median,0.9986840737267126,8
39,sine,0,0.2,WCBLE-median,0.9992637971010191,9
40,sine,0,0.3,CBLE-median,0.49527689103716355,0
41,sine,0,0.3,CBLE-median,0.985809029490028,1
42,sine,0,0.3,CBLE-median,0.9555860017390525,2
43,sine,0,0.3,CBLE-median,0.9989808977412057,3
44,sine,0,0.3,CBLE-median,0.9973657754990002,4
45,sine,0,0.3,CBLE-median,0.9761649438254171,5
46,sine,0,0.3,CBLE-median,0.9650945384301434,6
47,sine,0,0.3,CBLE-median,0.8955916684667109,7
48,sine,0,0.3,CBLE-median,0.9058056711130642,8
49,sine,0,0.3,CBLE-median,0.9750655870321274,9
50,sine,0,0.3,WCBLE-median,-0.11188342699267184,0
51,sine,0,0.3,WCBLE-median,0.9963924666656971,1
52,sine,0,0.3,WCBLE-median,0.9991503379466858,2
53,sine,0,0.3,WCBLE-median,0.9989974114399212,3
54,sine,0,0.3,WCBLE-median,0.9991316902946026,4
55,sine,0,0.3,WCBLE-median,0.9975163653590184,5
56,sine,0,0.3,WCBLE-median,0.9995326165911741,6
57,sine,0,0.3,WCBLE-median,0.9994719106108839,7
58,sine,0,0.3,WCBLE-median,0.9995761250263099,8
59,sine,0,0.3,WCBLE-median,0.9989780982126844,9
60,sine,-1,0.1,CBLE-median,0.9971386630880513,0
61,sine,-1,0.1,CBLE-median,0.9684619092066049,1
62,sine,-1,0.1,CBLE-median,0.9866020431728524,2
63,sine,-1,0.1,CBLE-median,0.9360521873353793,3
64,sine,-1,0.1,CBLE-median,0.9895332838879518,4
65,sine,-1,0.1,CBLE-median,0.9967477206841004,5
66,sine,-1,0.1,CBLE-median,0.981938907352238,6
67,sine,-1,0.1,CBLE-median,0.957000219695989,7
68,sine,-1,0.1,CBLE-median,0.9831991746523455,8
69,sine,-1,0.1,CBLE-median,0.9900903940686294,9
70,sine,-1,0.1,WCBLE-median,0.9955223185015917,0
71,sine,-1,0.1,WCBLE-median,0.9947629967714877,1
72,sine,-1,0.1,WCBLE-median,0.9938596386037301,2
73,sine,-1,0.1,WCBLE-median,0.9908413787026717,3
74,sine,-1,0.1,WCBLE-median,0.9934149953291332,4
75,sine,-1,0.1,WCBLE-median,0.9969786020174238,5
76,sine,-1,0.1,WCBLE-median,0.9941005182568645,6
77,sine,-1,0.1,WCBLE-median,0.9939728266741847,7
78,sine,-1,0.1,WCBLE-median,0.9975503969974175,8
79,sine,-1,0.1,WCBLE-median,0.9977753477269525,9
80,sine,-1,0.2,CBLE-median,0.9968026243920475,0
81,sine,-1,0.2,CBLE-median,0.9553559981766608,1
82,sine,-1,0.2,CBLE-median,0.9738930011254776,2
83,sine,-1,0.2,CBLE-median,0.9970600421659648,3
84,sine,-1,0.2,CBLE-median,0.9952426626374471,4
85,sine,-1,0.2,CBLE-median,0.9794817627032204,5
86,sine,-1,0.2,CBLE-median,0.9859381926768993,6
87,sine,-1,0.2,CBLE-median,0.9289262273714556,7
88,sine,-1,0.2,CBLE-median,0.911306813903779,8
89,sine,-1,0.2,CBLE-median,0.9418021744210291,9
90,sine,-1,0.2,WCBLE-median,0.9989468445745371,0
91,sine,-1,0.2,WCBLE-median,0.9988736416967754,1
92,sine,-1,0.2,WCBLE-median,0.9990120279279805,2
93,sine,-1,0.2,WCBLE-median,0.9983544970377323,3
94,sine,-1,0.2,WCBLE-median,0.9975994074045619,4
95,sine,-1,0.2,WCBLE-median,0.9990002332441307,5
96,sine,-1,0.2,WCBLE-median,0.9987132684990807,6
97,sine,-1,0.2,WCBLE-median,0.9982160395663823,7
98,sine,-1,0.2,WCBLE-median,0.9989605383394496,8
99,sine,-1,0.2,WCBLE-median,0.9992637971010191,9
100,sine,-1,0.3,CBLE-median,0.49527689103716355,0
101,sine,-1,0.3,CBLE-median,0.985809029490028,1
102,sine,-1,0.3,CBLE-median,0.955810623278353,2
103,sine,-1,0.3,CBLE-median,0.9989808977412057,3
104,sine,-1,0.3,CBLE-median,0.9973657754990002,4
105,sine,-1,0.3,CBLE-median,0.9668674824748942,5
106,sine,-1,0.3,CBLE-median,0.9344827551547661,6
107,sine,-1,0.3,CBLE-median,0.8955916684667109,7
108,sine,-1,0.3,CBLE-median,0.8919061813060665,8
109,sine,-1,0.3,CBLE-median,0.9750655870321274,9
110,sine,-1,0.3,WCBLE-median,0.1689611091235953,0
