,stc,snr,jitter,method,rho,fold
0,gaussian,0,0.1,CBLE-mode,0.9772608710277388,0
1,gaussian,0,0.1,CBLE-mode,0.9551203947750501,1
2,gaussian,0,0.1,CBLE-mode,0.9689015338752847,2
3,gaussian,0,0.1,CBLE-mode,0.9452323504378587,3
4,gaussian,0,0.1,CBLE-mode,0.9680335604870576,4
5,gaussian,0,0.1,WCBLE-mode,0.9956190001899083,0
6,gaussian,0,0.1,WCBLE-mode,0.9906393921495907,1
7,gaussian,0,0.1,WCBLE-mode,0.9906844952214627,2
8,gaussian,0,0.1,WCBLE-mode,0.9884932755330111,3
9,gaussian,0,0.1,WCBLE-mode,0.9882968008307741,4
10,gaussian,0,0.1,CBLE-median,0.989967839775318,0
11,gaussian,0,0.1,CBLE-median,0.9794788784065626,1
12,gaussian,0,0.1,CBLE-median,0.9794275179341403,2
13,gaussian,0,0.1,CBLE-median,0.9629285714873173,3
14,gaussian,0,0.1,CBLE-median,0.9802834858608067,4
15,gaussian,0,0.1,WCBLE-median,0.9922520290750945,0
16,gaussian,0,0.1,WCBLE-median,0.9899071237423585,1
17,gaussian,0,0.1,WCBLE-median,0.9917055888436137,2
18,gaussian,0,0.1,WCBLE-median,0.9946069272320496,3
19,gaussian,0,0.1,WCBLE-median,0.9880875212251453,4
20,gaussian,0,0.2,CBLE-mode,0.954332618576938,0
21,gaussian,0,0.2,CBLE-mode,0.9590803604223224,1
22,gaussian,0,0.2,CBLE-mode,0.9865443683252098,2
23,gaussian,0,0.2,CBLE-mode,0.948359855523923,3
24,gaussian,0,0.2,CBLE-mode,0.9755691843616592,4
25,gaussian,0,0.2,WCBLE-mode,0.9988175499255902,0
26,gaussian,0,0.2,WCBLE-mode,0.9977508668904177,1
27,gaussian,0,0.2,WCBLE-mode,0.997890813029829,2
28,gaussian,0,0.2,WCBLE-mode,0.9977955717860091,3
29,gaussian,0,0.2,WCBLE-mode,0.9984610062688484,4
30,gaussian,0,0.2,CBLE-median,0.9868925281247479,0
31,gaussian,0,0.2,CBLE-median,0.9762953955936514,1
32,gaussian,0,0.2,CBLE-median,0.9731652840161836,2
33,gaussian,0,0.2,CBLE-median,0.9793774240147416,3
34,gaussian,0,0.2,CBLE-median,0.9785614604982342,4
35,gaussian,0,0.2,WCBLE-median,0.9985769201446145,0
36,gaussian,0,0.2,WCBLE-median,0.9983469900316673,1
37,gaussian,0,0.2,WCBLE-median,0.9978498407837783,2
38,gaussian,0,0.2,WCBLE-median,0.9976947248683261,3
39,gaussian,0,0.2,WCBLE-median,0.9986617957699948,4
40,gaussian,0,0.3,CBLE-mode,0.9350870552948898,0
41,gaussian,0,0.3,CBLE-mode,0.9610284022602852,1
42,gaussian,0,0.3,CBLE-mode,0.9586622107834065,2
43,gaussian,0,0.3,CBLE-mode,0.9363828578244165,3
44,gaussian,0,0.3,CBLE-mode,0.9619427197693357,4
45,gaussian,0,0.3,WCBLE-mode,0.9992011584050057,0
46,gaussian,0,0.3,WCBLE-mode,0.9987444218705858,1
47,gaussian,0,0.3,WCBLE-mode,0.998247138254346,2
48,gaussian,0,0.3,WCBLE-mode,0.9984620529538557,3
49,gaussian,0,0.3,WCBLE-mode,0.9990630276129852,4
50,gaussian,0,0.3,CBLE-median,0.9956300411973512,0
51,gaussian,0,0.3,CBLE-median,0.9892540767215604,1
52,gaussian,0,0.3,CBLE-median,0.9872030943346365,2
53,gaussian,0,0.3,CBLE-median,0.9828885421025723,3
54,gaussian,0,0.3,CBLE-median,0.9941726964080808,4
55,gaussian,0,0.3,WCBLE-median,0.9992622171189671,0
56,gaussian,0,0.3,WCBLE-median,0.9991133232126708,1
57,gaussian,0,0.3,WCBLE-median,0.9989038949822293,2
58,gaussian,0,0.3,WCBLE-median,0.9992195066890507,3
59,gaussian,0,0.3,WCBLE-median,0.9996828981109421,4
60,gaussian,-1,0.1,CBLE-mode,0.9740437108321913,0
61,gaussian,-1,0.1,CBLE-mode,0.9504203406454982,1
62,gaussian,-1,0.1,CBLE-mode,0.9689015338752847,2
63,gaussian,-1,0.1,CBLE-mode,0.9452323504378587,3
64,gaussian,-1,0.1,CBLE-mode,0.9680335604870576,4
65,gaussian,-1,0.1,WCBLE-mode,0.9919511949798063,0
66,gaussian,-1,0.1,WCBLE-mode,0.9898991649684649,1
67,gaussian,-1,0.1,WCBLE-mode,0.9914604059271304,2
68,gaussian,-1,0.1,WCBLE-mode,0.9888890890907964,3
69,gaussian,-1,0.1,WCBLE-mode,0.9953559916920018,4
70,gaussian,-1,0.1,CBLE-median,0.989967839775318,0
71,gaussian,-1,0.1,CBLE-median,0.9794788784065626,1
72,gaussian,-1,0.1,CBLE-median,0.977518838983212,2
73,gaussian,-1,0.1,CBLE-median,0.9632573738346155,3
74,gaussian,-1,0.1,CBLE-median,0.9754284973278194,4
75,gaussian,-1,0.1,WCBLE-median,0.9948638110577053,0
76,gaussian,-1,0.1,WCBLE-median,0.9912549373202776,1
77,gaussian,-1,0.1,WCBLE-median,0.9955584046228096,2
78,gaussian,-1,0.1,WCBLE-median,0.9893942374425587,3
79,gaussian,-1,0.1,WCBLE-median,0.996515884654359,4
80,gaussian,-1,0.2,CBLE-mode,0.9550663820535414,0
81,gaussian,-1,0.2,CBLE-mode,0.9590803604223224,1
82,gaussian,-1,0.2,CBLE-mode,0.980230588648999,2
83,gaussian,-1,0.2,CBLE-mode,0.943341724410157,3
84,gaussian,-1,0.2,CBLE-mode,0.9755691843616592,4
85,gaussian,-1,0.2,WCBLE-mode,0.9989386401338842,0
86,gaussian,-1,0.2,WCBLE-mode,0.9981991052107207,1
87,gaussian,-1,0.2,WCBLE-mode,0.9978861770104305,2
88,gaussian,-1,0.2,WCBLE-mode,0.9971101010715088,3
89,gaussian,-1,0.2,WCBLE-mode,0.9988787988999525,4
90,gaussian,-1,0.2,CBLE-median,0.986731251684976,0
91,gaussian,-1,0.2,CBLE-median,0.9746305051564262,1
92,gaussian,-1,0.2,CBLE-median,0.9708173250287288,2
93,gaussian,-1,0.2,CBLE-median,0.9764906069715593,3
94,gaussian,-1,0.2,CBLE-median,0.9769689054729304,4
95,gaussian,-1,0.2,WCBLE-median,0.9985159249608915,0
96,gaussian,-1,0.2,WCBLE-median,0.9970952426106874,1
97,gaussian,-1,0.2,WCBLE-median,0.9982178333954714,2
98,gaussian,-1,0.2,WCBLE-median,0.996935413184842,3
99,gaussian,-1,0.2,WCBLE-median,0.9990821132374754,4
100,gaussian,-1,0.3,CBLE-mode,0.9350870552948898,0
101,gaussian,-1,0.3,CBLE-mode,0.9610284022602852,1
102,gaussian,-1,0.3,CBLE-mode,0.9586622107834065,2
103,gaussian,-1,0.3,CBLE-mode,0.9370306413868527,3
104,gaussian,-1,0.3,CBLE-mode,0.9630650489386305,4
105,gaussian,-1,0.3,WCBLE-mode,0.9987136533004147,0
106,gaussian,-1,0.3,WCBLE-mode,0.9987094280872688,1
107,gaussian,-1,0.3,WCBLE-mode,0.9982824972771706,2
108,gaussian,-1,0.3,WCBLE-mode,0.9983899060996173,3
109,gaussian,-1,0.3,WCBLE-mode,0.9993488936379242,4
110,gaussian,-1,0.3,CBLE-median,0.9956300411973512,0
111,gaussian,-1,0.3,CBLE-median,0.9887894620222313,1
112,gaussian,-1,0.3,CBLE-median,0.9864807056215736,2
113,gaussian,-1,0.3,CBLE-median,0.9828885421025723,3
114,gaussian,-1,0.3,CBLE-median,0.9933824487357628,4
115,gaussian,-1,0.3,WCBLE-median,0.999182430018792,0
116,gaussian,-1,0.3,WCBLE-median,0.9992109104314811,1
