,stc,snr,jitter,method,accuracy,fold
0,sine,0,0.1,CBLE-median,0.9,0
1,sine,0,0.1,CBLE-median,0.95,1
2,sine,0,0.1,CBLE-median,0.95,2
3,sine,0,0.1,CBLE-median,1.0,3
4,sine,0,0.1,CBLE-median,1.0,4
5,sine,0,0.1,CBLE-median,0.9,5
6,sine,0,0.1,CBLE-median,0.95,6
7,sine,0,0.1,CBLE-median,1.0,7
8,sine,0,0.1,CBLE-median,0.95,8
9,sine,0,0.1,CBLE-median,1.0,9
10,sine,0,0.1,WCBLE-median,1.0,0
11,sine,0,0.1,WCBLE-median,1.0,1
12,sine,0,0.1,WCBLE-median,1.0,2
13,sine,0,0.1,WCBLE-median,1.0,3
14,sine,0,0.1,WCBLE-median,1.0,4
15,sine,0,0.1,WCBLE-median,1.0,5
16,sine,0,0.1,WCBLE-median,1.0,6
17,sine,0,0.1,WCBLE-median,1.0,7
18,sine,0,0.1,WCBLE-median,1.0,8
19,sine,0,0.1,WCBLE-median,1.0,9
20,sine,0,0.2,CBLE-median,0.9,0
21,sine,0,0.2,CBLE-median,0.85,1
22,sine,0,0.2,CBLE-median,1.0,2
23,sine,0,0.2,CBLE-median,0.95,3
24,sine,0,0.2,CBLE-median,1.0,4
25,sine,0,0.2,CBLE-median,0.85,5
26,sine,0,0.2,CBLE-median,0.9,6
27,sine,0,0.2,CBLE-median,0.95,7
28,sine,0,0.2,CBLE-median,0.95,8
29,sine,0,0.2,CBLE-median,0.85,9
30,sine,0,0.2,WCBLE-median,0.9,0
31,sine,0,0.2,WCBLE-median,0.95,1
32,sine,0,0.2,WCBLE-median,0.95,2
33,sine,0,0.2,WCBLE-median,0.95,3
34,sine,0,0.2,WCBLE-median,1.0,4
35,sine,0,0.2,WCBLE-median,0.85,5
36,sine,0,0.2,WCBLE-median,0.95,6
37,sine,0,0.2,WCBLE-median,1.0,7
38,sine,0,0.2,WCBLE-median,1.0,8
39,sine,0,0.2,WCBLE-median,0.95,9
40,sine,0,0.3,CBLE-median,0.9,0
41,sine,0,0.3,CBLE-median,0.75,1
42,sine,0,0.3,CBLE-median,0.95,2
43,sine,0,0.3,CBLE-median,0.75,3
44,sine,0,0.3,CBLE-median,0.9,4
45,sine,0,0.3,CBLE-median,0.85,5
46,sine,0,0.3,CBLE-median,0.85,6
47,sine,0,0.3,CBLE-median,0.8,7
48,sine,0,0.3,CBLE-median,0.85,8
49,sine,0,0.3,CBLE-median,0.75,9
50,sine,0,0.3,WCBLE-median,0.7,0
51,sine,0,0.3,WCBLE-median,0.95,1
52,sine,0,0.3,WCBLE-median,0.95,2
53,sine,0,0.3,WCBLE-median,0.95,3
54,sine,0,0.3,WCBLE-median,1.0,4
55,sine,0,0.3,WCBLE-median,0.8,5
56,sine,0,0.3,WCBLE-median,0.95,6
57,sine,0,0.3,WCBLE-median,1.0,7
58,sine,0,0.3,WCBLE-median,0.8,8
59,sine,0,0.3,WCBLE-median,0.85,9
60,sine,-1,0.1,CBLE-median,0.9,0
61,sine,-1,0.1,CBLE-median,0.95,1
62,sine,-1,0.1,CBLE-median,0.95,2
63,sine,-1,0.1,CBLE-median,1.0,3
64,sine,-1,0.1,CBLE-median,1.0,4
65,sine,-1,0.1,CBLE-median,0.9,5
66,sine,-1,0.1,CBLE-median,0.95,6
67,sine,-1,0.1,CBLE-median,1.0,7
68,sine,-1,0.1,CBLE-median,0.95,8
69,sine,-1,0.1,CBLE-median,1.0,9
70,sine,-1,0.1,WCBLE-median,1.0,0
71,sine,-1,0.1,WCBLE-median,1.0,1
72,sine,-1,0.1,WCBLE-median,1.0,2
73,sine,-1,0.1,WCBLE-median,1.0,3
74,sine,-1,0.1,WCBLE-median,1.0,4
75,sine,-1,0.1,WCBLE-median,1.0,5
76,sine,-1,0.1,WCBLE-median,1.0,6
77,sine,-1,0.1,WCBLE-median,1.0,7
78,sine,-1,0.1,WCBLE-median,1.0,8
79,sine,-1,0.1,WCBLE-median,1.0,9
80,sine,-1,0.2,CBLE-median,0.9,0
81,sine,-1,0.2,CBLE-median,0.85,1
82,sine,-1,0.2,CBLE-median,1.0,2
83,sine,-1,0.2,CBLE-median,0.95,3
84,sine,-1,0.2,CBLE-median,0.95,4
85,sine,-1,0.2,CBLE-median,0.85,5
86,sine,-1,0.2,CBLE-median,0.9,6
87,sine,-1,0.2,CBLE-median,0.95,7
88,sine,-1,0.2,CBLE-median,0.95,8
89,sine,-1,0.2,CBLE-median,0.85,9
90,sine,-1,0.2,WCBLE-median,0.9,0
91,sine,-1,0.2,WCBLE-median,0.95,1
92,sine,-1,0.2,WCBLE-median,0.95,2
93,sine,-1,0.2,WCBLE-median,0.95,3
94,sine,-1,0.2,WCBLE-median,1.0,4
95,sine,-1,0.2,WCBLE-median,0.85,5
96,sine,-1,0.2,WCBLE-median,0.95,6
97,sine,-1,0.2,WCBLE-median,1.0,7
98,sine,-1,0.2,WCBLE-median,0.9,8
99,sine,-1,0.2,WCBLE-median,0.95,9
100,sine,-1,0.3,CBLE-median,0.95,0
101,sine,-1,0.3,CBLE-median,0.75,1
102,sine,-1,0.3,CBLE-median,0.95,2
103,sine,-1,0.3,CBLE-median,0.7,3
104,sine,-1,0.3,CBLE-median,0.9,4
105,sine,-1,0.3,CBLE-median,0.85,5
106,sine,-1,0.3,CBLE-median,0.85,6
107,sine,-1,0.3,CBLE-median,0.75,7
108,sine,-1,0.3,CBLE-median,0.85,8
109,sine,-1,0.3,CBLE-median,0.75,9
110,sine,-1,0.3,WCBLE-median,0.65,0
111,sine,-1,0.3,WCBLE-median,0.9,1
112,sine,-1,0.3,WCBLE-median,0.95,2
113,sine,-1,0.3,WCBLE-median,0.9,3
114,sine,-1,0.3,WCBLE-median,1.0,4
115,sine,-1,0.3,WCBLE-median,0.7,5
116,sine,-1,0.3,WCBLE-median,0.9,6
117,sine,-1,0.3,WCBLE-median,1.0,7
118,sine,-1,0.3,WCBLE-median,0.8,8
119,sine,-1,0.3,WCBLE-median,0.85,9
120,sine,-2,0.1,CBLE-median,0.9,0
121,sine,-2,0.1,CBLE-median,0.95,1
122,sine,-2,0.1,CBLE-median,0.95,2
123,sine,-2,0.1,CBLE-median,1.0,3
124,sine,-2,0.1,CBLE-median,1.0,4
125,sine,-2,0.1,CBLE-median,0.9,5
126,sine,-2,0.1,CBLE-median,0.95,6
127,sine,-2,0.1,CBLE-median,1.0,7
128,sine,-2,0.1,CBLE-median,0.95,8
129,sine,-2,0.1,CBLE-median,1.0,9
130,sine,-2,0.1,WCBLE-median,1.0,0
131,sine,-2,0.1,WCBLE-median,1.0,1
132,sine,-2,0.1,WCBLE-median,1.0,2
133,sine,-2,0.1,WCBLE-median,1.0,3
134,sine,-2,0.1,WCBLE-median,1.0,4
135,sine,-2,0.1,WCBLE-median,1.0,5
136,sine,-2,0.1,WCBLE-median,1.0,6
137,sine,-2,0.1,WCBLE-median,1.0,7
138,sine,-2,0.1,WCBLE-median,1.0,8
139,sine,-2,0.1,WCBLE-median,1.0,9
140,sine,-2,0.2,CBLE-median,0.9,0
141,sine,-2,0.2,CBLE-median,0.85,1
142,sine,-2,0.2,CBLE-median,1.0,2
143,sine,-2,0.2,CBLE-median,0.95,3
144,sine,-2,0.2,CBLE-median,0.95,4
145,sine,-2,0.2,CBLE-median,0.85,5
146,sine,-2,0.2,CBLE-median,0.9,6
147,sine,-2,0.2,CBLE-median,0.95,7
148,sine,-2,0.2,CBLE-median,0.9,8
149,sine,-2,0.2,CBLE-median,0.85,9
150,sine,-2,0.2,WCBLE-median,0.9,0
151,sine,-2,0.2,WCBLE-median,0.95,1
152,sine,-2,0.2,WCBLE-median,1.0,2
153,sine,-2,0.2,WCBLE-median,0.95,3
154,sine,-2,0.2,WCBLE-median,1.0,4
155,sine,-2,0.2,WCBLE-median,0.85,5
156,sine,-2,0.2,WCBLE-median,1.0,6
157,sine,-2,0.2,WCBLE-median,1.0,7
158,sine,-2,0.2,WCBLE-median,0.9,8
159,sine,-2,0.2,WCBLE-median,0.95,9
160,sine,-2,0.3,CBLE-median,0.8,0
161,sine,-2,0.3,CBLE-median,0.65,1
162,sine,-2,0.3,CBLE-median,0.95,2
163,sine,-2,0.3,CBLE-median,0.7,3
164,sine,-2,0.3,CBLE-median,0.9,4
165,sine,-2,0.3,CBLE-median,0.85,5
166,sine,-2,0.3,CBLE-median,0.8,6
167,sine,-2,0.3,CBLE-median,0.7,7
168,sine,-2,0.3,CBLE-median,0.8,8
169,sine,-2,0.3,CBLE-median,0.7,9
170,sine,-2,0.3,WCBLE-median,0.75,0
171,sine,-2,0.3,WCBLE-median,0.85,1
172,sine,-2,0.3,WCBLE-median,0.9,2
173,sine,-2,0.3,WCBLE-median,0.9,3
174,sine,-2,0.3,WCBLE-median,0.95,4
175,sine,-2,0.3,WCBLE-median,0.8,5
176,sine,-2,0.3,WCBLE-median,0.9,6
177,sine,-2,0.3,WCBLE-median,0.95,7
178,sine,-2,0.3,WCBLE-median,0.8,8
179,sine,-2,0.3,WCBLE-median,0.85,9
180,sine,-3,0.1,CBLE-median,0.9,0
181,sine,-3,0.1,CBLE-median,0.95,1
182,sine,-3,0.1,CBLE-median,0.95,2
183,sine,-3,0.1,CBLE-median,1.0,3
184,sine,-3,0.1,CBLE-median,1.0,4
185,sine,-3,0.1,CBLE-median,0.9,5
186,sine,-3,0.1,CBLE-median,0.95,6
187,sine,-3,0.1,CBLE-median,1.0,7
188,sine,-3,0.1,CBLE-median,0.95,8
189,sine,-3,0.1,CBLE-median,1.0,9
190,sine,-3,0.1,WCBLE-median,1.0,0
191,sine,-3,0.1,WCBLE-median,1.0,1
192,sine,-3,0.1,WCBLE-median,1.0,2
193,sine,-3,0.1,WCBLE-median,1.0,3
194,sine,-3,0.1,WCBLE-median,1.0,4
195,sine,-3,0.1,WCBLE-median,1.0,5
196,sine,-3,0.1,WCBLE-median,1.0,6
197,sine,-3,0.1,WCBLE-median,1.0,7
198,sine,-3,0.1,WCBLE-median,1.0,8
199,sine,-3,0.1,WCBLE-median,1.0,9
200,sine,-3,0.2,CBLE-median,0.9,0
201,sine,-3,0.2,CBLE-median,0.85,1
202,sine,-3,0.2,CBLE-median,1.0,2
203,sine,-3,0.2,CBLE-median,0.95,3
204,sine,-3,0.2,CBLE-median,0.95,4
205,sine,-3,0.2,CBLE-median,0.85,5
206,sine,-3,0.2,CBLE-median,0.9,6
207,sine,-3,0.2,CBLE-median,0.95,7
208,sine,-3,0.2,CBLE-median,0.9,8
209,sine,-3,0.2,CBLE-median,0.8,9
210,sine,-3,0.2,WCBLE-median,0.9,0
211,sine,-3,0.2,WCBLE-median,0.95,1
212,sine,-3,0.2,WCBLE-median,1.0,2
213,sine,-3,0.2,WCBLE-median,1.0,3
214,sine,-3,0.2,WCBLE-median,1.0,4
215,sine,-3,0.2,WCBLE-median,0.85,5
216,sine,-3,0.2,WCBLE-median,1.0,6
217,sine,-3,0.2,WCBLE-median,1.0,7
218,sine,-3,0.2,WCBLE-median,0.9,8
219,sine,-3,0.2,WCBLE-median,0.95,9
220,sine,-3,0.3,CBLE-median,0.8,0
221,sine,-3,0.3,CBLE-median,0.6,1
222,sine,-3,0.3,CBLE-median,0.9,2
223,sine,-3,0.3,CBLE-median,0.7,3
224,sine,-3,0.3,CBLE-median,0.9,4
225,sine,-3,0.3,CBLE-median,0.85,5
226,sine,-3,0.3,CBLE-median,0.8,6
227,sine,-3,0.3,CBLE-median,0.7,7
228,sine,-3,0.3,CBLE-median,0.8,8
229,sine,-3,0.3,CBLE-median,0.65,9
230,sine,-3,0.3,WCBLE-median,0.75,0
